Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2020,11.76,12.45,11.42,12.23,11.605858144158535120,524603,1057,6088468.00,524603,100.00,1.03,0.47
29-December-2020,12.26,12.49,11.96,12.02,12.098382102622010757,418877,1265,5067734.00,418877,100.00,0.53,-0.24
28-December-2020,13.10,13.10,11.86,12.58,12.410294369986893361,547814,1119,6798533.00,547814,100.00,1.24,-0.52
24-December-2020,12.48,12.48,12.10,12.48,12.411561925929285827,661395,1386,8208945.00,661395,100.00,0.38,0.00
23-December-2020,11.89,11.89,11.85,11.89,11.889897781272435130,146255,286,1738957.00,146255,100.00,0.04,0.00
22-December-2020,11.33,11.42,11.33,11.33,11.337630195770813495,238391,439,2702789.00,238391,100.00,0.09,0.00
21-December-2020,11.92,12.49,11.92,11.92,12.064646499991252165,514413,1081,6206211.00,514413,100.00,0.57,0.00
18-December-2020,12.54,12.60,12.54,12.54,12.540517873312923116,463820,723,5816543.00,463820,100.00,0.06,0.00
17-December-2020,13.88,13.88,13.19,13.19,13.239165666574350452,779928,1327,10325596.00,779928,100.00,0.69,-0.69
16-December-2020,13.53,13.88,13.22,13.88,13.810314653651226355,1932474,2545,26688074.00,1271563,65.80,0.66,0.35
15-December-2020,13.97,13.97,12.65,13.22,13.156217674644881250,4916806,5937,64686570.00,2337458,47.54,1.32,-0.75
14-December-2020,13.31,13.31,13.31,13.31,13.309999758809483611,414610,670,5518459.00,414610,100.00,0.00,0.00
11-December-2020,12.68,12.68,12.68,12.68,12.679999269813163443,547805,718,6946167.00,547805,100.00,0.00,0.00
10-December-2020,12.08,12.08,11.06,12.08,11.930877873522086398,6986200,5808,83351499.00,4104625,58.75,1.02,0.00
9-December-2020,11.51,11.51,11.51,11.51,11.509998852904064543,575366,613,6622462.00,575364,100.00,0.00,0.00
8-December-2020,10.97,10.97,10.88,10.97,10.969083895587891097,3704283,1392,40632591.00,2598568,70.15,0.09,0.00
7-December-2020,10.45,10.45,10.45,10.45,10.449998259396358657,344708,464,3602198.00,344708,100.00,0.00,0.00
4-December-2020,9.96,9.96,9.96,9.96,9.959997176120245934,155814,201,1551907.00,155814,100.00,0.00,0.00
3-December-2020,9.49,9.49,9.49,9.49,9.489991542148294333,39017,101,370271.00,39017,100.00,0.00,0.00
2-December-2020,9.45,9.48,8.82,9.04,9.062304173500477045,346927,1179,3143958.00,209588,60.41,0.66,-0.41
1-December-2020,9.75,9.75,9.23,9.23,9.335997493868689440,596936,1181,5572993.00,457070,76.57,0.52,-0.52
27-November-2020,9.98,9.98,9.71,9.71,9.723242992016913935,1097320,856,10669509.00,738668,67.32,0.27,-0.27
26-November-2020,10.88,10.95,10.22,10.22,10.348805541442034347,879771,778,9104579.00,687696,78.17,0.73,-0.66
25-November-2020,10.90,11.06,10.08,10.75,10.816031715909259476,3909962,5137,42290273.00,1753041,44.84,0.98,-0.15
24-November-2020,9.46,10.06,9.26,10.06,9.707084106442445451,1064425,1876,10332463.00,564072,52.99,0.80,0.60
23-November-2020,8.59,9.31,8.48,9.15,9.247947898141933684,2926268,2675,27061974.00,1007625,34.43,0.83,0.56
20-November-2020,8.40,8.55,8.32,8.47,8.457290237290404632,239032,611,2021563.00,172836,72.31,0.23,0.07
19-November-2020,8.40,8.42,8.26,8.39,8.345285020571162421,115939,331,967544.00,77804,67.11,0.16,-0.01
18-November-2020,8.42,8.42,8.20,8.28,8.313591218569534638,178012,489,1479919.00,102044,57.32,0.22,-0.14
17-November-2020,8.40,8.59,8.26,8.35,8.402093164509648180,321045,563,2697450.00,206756,64.40,0.33,-0.05
14-November-2020,8.55,8.55,8.36,8.39,8.406039972999148886,68146,220,572838.00,60122,88.23,0.19,-0.16
13-November-2020,8.37,8.40,8.24,8.36,8.299443994300243077,178955,330,1485227.00,111450,62.28,0.16,-0.01
12-November-2020,8.33,8.39,8.20,8.27,8.277720611982785167,133141,334,1102104.00,87934,66.05,0.19,-0.06
11-November-2020,8.39,8.50,8.25,8.33,8.383103917968849144,236398,506,1981749.00,118370,50.07,0.25,-0.06
10-November-2020,8.30,8.56,8.09,8.26,8.292210298772485138,336778,696,2792634.00,191836,56.96,0.47,-0.04
9-November-2020,8.31,8.65,8.22,8.29,8.387483128815364231,323036,752,2709459.00,209273,64.78,0.43,-0.02
6-November-2020,8.45,8.79,8.44,8.64,8.599846511522921698,132909,450,1142997.00,86954,65.42,0.35,0.19
5-November-2020,8.57,8.74,8.41,8.55,8.531860335171332412,230867,489,1969725.00,171388,74.24,0.33,-0.02
4-November-2020,8.60,8.95,8.50,8.60,8.741016837799747803,188742,535,1649797.00,105935,56.13,0.45,0.00
3-November-2020,8.90,9.14,8.55,8.64,8.843900993600619387,209239,479,1850489.00,124022,59.27,0.59,-0.26
2-November-2020,9.49,9.56,8.70,8.83,8.998914313456644561,374878,736,3373495.00,223393,59.59,0.86,-0.66
30-October-2020,9.08,9.56,8.70,9.06,9.158774526197048121,801388,1276,7339732.00,497765,62.11,0.86,-0.02
29-October-2020,8.05,9.08,8.05,9.08,8.953509599294124806,953143,1117,8533975.00,563313,59.10,1.03,1.03
28-October-2020,8.51,8.56,8.10,8.26,8.293811939410884915,225321,431,1868770.00,173045,76.80,0.46,-0.25
27-October-2020,8.82,8.89,8.49,8.59,8.673670431779353744,162722,371,1411397.00,91510,56.24,0.40,-0.23
26-October-2020,9.90,9.99,8.50,8.81,9.129511338484158513,1259604,2052,11499569.00,670513,53.23,1.49,-1.09
23-October-2020,8.50,9.09,8.39,9.09,9.052392532465192110,1526019,1098,13814123.00,787728,51.62,0.70,0.59
22-October-2020,7.60,8.27,7.49,8.27,8.208725142929520132,457918,818,3758923.00,431041,94.13,0.78,0.67
21-October-2020,7.50,7.60,7.44,7.52,7.501024341887873113,136185,302,1021527.00,97299,71.45,0.16,0.02
20-October-2020,7.24,7.61,7.21,7.35,7.390268325535233234,112848,419,833977.00,59742,52.94,0.40,0.11
19-October-2020,7.40,7.44,7.25,7.34,7.323545852449506934,94815,304,694382.00,47092,49.67,0.19,-0.06
16-October-2020,8.00,8.00,7.16,7.39,7.389051529360316804,164644,516,1216563.00,95638,58.09,0.84,-0.61
15-October-2020,7.70,7.90,7.25,7.57,7.680024691223144197,183061,481,1405913.00,113605,62.06,0.65,-0.13
14-October-2020,7.70,7.84,7.54,7.71,7.640768136408258831,190487,354,1455467.00,107615,56.49,0.30,0.01
13-October-2020,7.87,8.06,7.64,7.69,7.739966671295653381,100814,401,780297.00,64104,63.59,0.42,-0.18
12-October-2020,8.00,8.00,7.59,7.72,7.792492675849629451,178519,491,1391108.00,134408,75.29,0.41,-0.28
9-October-2020,8.00,8.05,7.74,7.91,7.881996036843158390,154927,511,1221134.00,86385,55.76,0.31,-0.09
8-October-2020,8.40,8.60,7.80,7.94,8.046502297452530576,473568,843,3810566.00,264271,55.80,0.80,-0.46
7-October-2020,8.24,8.29,7.91,8.29,8.267103822590789443,772722,629,6388173.00,475977,61.60,0.38,0.05
6-October-2020,7.37,7.90,7.24,7.90,7.731328977955028699,363076,523,2807060.00,170056,46.84,0.66,0.53
5-October-2020,7.71,7.76,7.50,7.53,7.567685472442452794,261090,651,1975847.00,189074,72.42,0.26,-0.18
1-October-2020,7.81,7.91,7.62,7.67,7.723712661613909942,179440,315,1385943.00,129733,72.30,0.29,-0.14
30-September-2020,7.94,8.00,7.80,7.82,7.852202788909279302,80103,194,628985.00,46052,57.49,0.20,-0.12
29-September-2020,8.10,8.11,7.90,7.94,8.006755113781262417,168613,391,1350043.00,134387,79.70,0.21,-0.16
28-September-2020,8.33,8.33,7.97,8.00,8.037871991735890236,257499,438,2069744.00,202375,78.59,0.36,-0.33
25-September-2020,8.12,8.16,7.76,8.14,7.978916899992432677,370012,641,2952295.00,205707,55.59,0.40,0.02
24-September-2020,7.98,8.01,7.67,7.80,7.825034044637047273,298138,423,2332940.00,176977,59.36,0.34,-0.18
23-September-2020,7.90,8.22,7.69,7.98,7.931206696554534909,318970,801,2529817.00,154533,48.45,0.53,0.08
22-September-2020,7.88,8.02,7.80,7.85,7.821252850114004560,449982,975,3519423.00,300628,66.81,0.22,-0.03
21-September-2020,8.79,8.79,8.21,8.21,8.280349160618059760,431091,905,3569584.00,345921,80.24,0.58,-0.58
18-September-2020,8.75,8.91,8.50,8.64,8.723043114376189940,204317,666,1782266.00,119560,58.52,0.41,-0.11
17-September-2020,8.91,8.91,8.72,8.73,8.817718129511067461,215858,616,1903375.00,166614,77.19,0.19,-0.18
16-September-2020,9.10,9.10,8.80,8.87,8.888305523590333716,83424,256,741498.00,55055,65.99,0.30,-0.23
15-September-2020,9.10,9.20,8.79,8.97,8.992756158779077983,297218,614,2672809.00,179881,60.52,0.41,-0.13
14-September-2020,8.82,9.11,8.82,8.93,8.938559242559512645,266582,846,2382859.00,166899,62.61,0.29,0.11
11-September-2020,9.01,9.10,8.86,8.99,8.935086018899927307,123810,455,1106253.00,67448,54.48,0.24,-0.02
10-September-2020,9.00,9.14,8.93,8.98,9.025104878209492850,136587,453,1232712.00,86108,63.04,0.21,-0.02
9-September-2020,9.20,9.20,8.76,8.90,8.844285154984992097,206891,805,1829803.00,145949,70.54,0.44,-0.30
8-September-2020,9.22,9.56,9.11,9.19,9.298916585763836662,219399,558,2040173.00,143011,65.18,0.45,-0.03
7-September-2020,9.37,9.55,9.12,9.22,9.256755702358969023,307592,814,2847304.00,219552,71.38,0.43,-0.15
4-September-2020,9.50,9.61,9.26,9.41,9.385941630833759463,483029,772,4533682.00,340529,70.50,0.35,-0.09
3-September-2020,9.73,9.73,9.34,9.51,9.535115344070180806,300709,719,2867295.00,144914,48.19,0.39,-0.22
2-September-2020,9.40,9.79,9.36,9.73,9.583019450680246485,265492,508,2544215.00,157323,59.26,0.43,0.33
1-September-2020,9.51,9.70,9.36,9.37,9.471365585347871638,412336,730,3905385.00,325823,79.02,0.34,-0.14
31-August-2020,10.48,10.71,9.85,9.85,9.887600999329231577,2506081,1538,24779129.00,2270158,90.59,0.86,-0.63
28-August-2020,10.90,10.90,10.30,10.36,10.459769971380243089,560452,1151,5862199.00,432642,77.20,0.60,-0.54
27-August-2020,10.55,10.79,10.20,10.72,10.717903398244741520,1343164,1235,14395902.00,678019,50.48,0.59,0.17
26-August-2020,10.32,10.61,10.09,10.28,10.385652304352069284,829973,1108,8619811.00,353009,42.53,0.52,-0.04
25-August-2020,10.49,10.49,10.01,10.11,10.145579829130464725,275883,636,2798993.00,171553,62.18,0.48,-0.38
24-August-2020,10.30,10.50,10.25,10.30,10.318013167213959178,496992,1233,5127970.00,339435,68.30,0.25,0.00
21-August-2020,10.70,10.90,10.50,10.56,10.661670594730025267,470970,1154,5021327.00,336658,71.48,0.40,-0.14
20-August-2020,11.00,11.36,10.70,10.78,10.955827028177812388,713966,1307,7822088.00,454715,63.69,0.66,-0.22
19-August-2020,10.41,11.17,10.36,11.17,10.976734932064722596,1125851,957,12358168.00,536320,47.64,0.81,0.76
18-August-2020,10.83,10.85,10.31,10.64,10.574843502453726960,207032,599,2189331.00,144308,69.70,0.54,-0.19
17-August-2020,10.95,10.99,10.42,10.83,10.612460178941423936,508211,1012,5393369.00,508211,100.00,0.57,-0.12
14-August-2020,11.26,11.50,10.65,10.67,10.876634896908525590,551258,1295,5995832.00,551258,100.00,0.85,-0.59
13-August-2020,11.53,11.53,10.80,11.21,11.231311683963843321,373375,961,4193491.00,373375,100.00,0.73,-0.32
12-August-2020,10.72,10.99,10.00,10.99,10.502352544483062717,385540,925,4049077.00,385540,100.00,0.99,0.27
11-August-2020,10.25,10.47,10.25,10.47,10.443479752589895832,314781,531,3287409.00,314781,100.00,0.22,0.22
10-August-2020,9.50,9.98,9.30,9.98,9.798942750568897160,127879,316,1253079.00,127879,100.00,0.68,0.48
7-August-2020,9.70,9.80,9.30,9.51,9.511646101818846540,273525,967,2601673.00,273525,100.00,0.50,-0.19
6-August-2020,10.18,10.18,9.65,9.74,9.862188337111065320,145590,477,1435836.00,145590,100.00,0.53,-0.44
5-August-2020,9.85,10.20,9.80,9.96,9.917977318224921217,417604,659,4141787.00,417604,100.00,0.40,0.11
4-August-2020,9.51,9.99,9.51,9.83,9.770367446668546189,266025,825,2599162.00,266025,100.00,0.48,0.32
3-August-2020,9.02,9.94,9.02,9.88,9.429171711929885256,416232,1288,3924723.00,416232,100.00,0.92,0.86
31-July-2020,10.00,10.00,9.32,9.49,9.493482436882546652,233216,701,2214032.00,233216,100.00,0.68,-0.51
30-July-2020,10.25,10.25,9.74,9.77,9.932963746580884492,532667,1386,5290962.00,532667,100.00,0.51,-0.48
29-July-2020,9.65,10.24,9.32,10.24,10.132008432065693522,553601,819,5609090.00,553601,100.00,0.92,0.59
28-July-2020,10.25,10.25,9.56,9.76,9.772854658440134253,361108,1445,3529056.00,361108,100.00,0.69,-0.49
27-July-2020,10.78,10.78,10.03,10.06,10.097350041533686005,365968,1185,3695307.00,365968,100.00,0.75,-0.72
24-July-2020,10.86,10.86,10.21,10.55,10.477708688587652364,348342,788,3649826.00,348342,100.00,0.65,-0.31
23-July-2020,10.97,10.97,10.50,10.65,10.656989978149903522,219221,866,2336236.00,219221,100.00,0.47,-0.32
22-July-2020,11.60,11.60,10.96,10.97,11.084960590382586421,354482,1024,3929419.00,354482,100.00,0.64,-0.63
21-July-2020,11.81,11.90,11.25,11.53,11.546439281124416066,588252,1567,6792216.00,588252,100.00,0.65,-0.28
20-July-2020,11.36,11.47,10.96,11.37,11.252026907701446529,498296,1184,5606840.00,498296,100.00,0.51,0.01
17-July-2020,10.02,10.94,10.02,10.93,10.646520915467717986,488275,1124,5198430.00,488275,100.00,0.92,0.91
16-July-2020,10.99,10.99,10.42,10.42,10.442466236239015332,507867,677,5303384.00,507867,100.00,0.57,-0.57
15-July-2020,10.45,11.53,10.45,10.96,11.012158749219112717,822782,1718,9060606.00,822782,100.00,1.08,0.51
14-July-2020,10.99,10.99,10.99,10.99,10.989998318058961812,255657,697,2809670.00,255657,100.00,0.00,0.00
13-July-2020,12.26,12.39,11.56,11.56,11.750192944890297048,516987,1620,6074697.00,516987,100.00,0.83,-0.70
10-July-2020,11.40,12.49,11.40,12.16,11.993270779116711057,2096528,4266,25144228.00,2096528,100.00,1.09,0.76
9-July-2020,10.85,11.99,10.85,11.99,11.529948881950111568,3532803,5704,40733038.00,3532803,100.00,1.14,1.14
8-July-2020,11.42,11.42,11.42,11.42,11.419995348210897428,81689,370,932888.00,81689,100.00,0.00,0.00
7-July-2020,12.02,12.02,12.02,12.02,12.019999349966956653,92303,448,1109482.00,92303,100.00,0.00,0.00
6-July-2020,12.65,12.65,12.65,12.65,12.649996213555471412,198075,657,2505648.00,198075,100.00,0.00,0.00
3-July-2020,14.71,14.71,13.31,13.31,14.184654249586375440,2417047,4555,34284976.00,2417047,100.00,1.40,-1.40
2-July-2020,14.01,14.01,13.70,14.01,13.993376119758739283,2836102,3471,39686642.00,2836102,100.00,0.31,0.00
1-July-2020,13.35,13.35,12.09,13.35,13.181451137795391729,5864543,6986,77303187.00,5864543,100.00,1.26,0.00
30-June-2020,12.72,12.72,12.72,12.72,12.719999379912257584,322535,493,4102645.00,322535,100.00,0.00,0.00
29-June-2020,12.12,12.12,12.12,12.12,12.119999508883077338,407235,652,4935688.00,407235,100.00,0.00,0.00
26-June-2020,11.55,11.55,11.55,11.55,11.549999686089364079,318562,434,3679391.00,318562,100.00,0.00,0.00
25-June-2020,11.00,11.00,10.48,11.00,10.924210751018646952,2192369,1919,23949901.00,2192369,100.00,0.52,0.00
24-June-2020,10.48,10.48,10.48,10.48,10.479998281709617107,488858,610,5123231.00,488858,100.00,0.00,0.00
23-June-2020,9.99,9.99,9.99,9.99,9.989999884620392851,606693,645,6060863.00,606693,100.00,0.00,0.00
22-June-2020,9.52,9.52,9.52,9.52,9.519999051834371267,759361,767,7229116.00,759361,100.00,0.00,0.00
