Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2020,984.00,984.00,957.75,961.75,961.982888432580424366,2922,426,2810914.00,1976,67.62,26.25,-22.25
29-December-2020,979.65,979.65,962.50,971.35,967.264175824175824175,2275,331,2200526.00,1468,64.53,17.15,-8.30
28-December-2020,960.00,972.35,958.65,961.15,961.925726034438447699,3891,513,3742853.00,2682,68.93,13.70,1.15
24-December-2020,985.00,985.00,951.00,955.90,963.712121212121212121,3036,431,2925830.00,1023,33.70,34.00,-29.10
23-December-2020,920.00,950.00,910.00,944.95,933.489545393228112774,7413,738,6919958.00,3383,45.64,40.00,24.95
22-December-2020,920.80,934.35,872.80,905.30,897.587321742527837468,10238,1199,9189499.00,6435,62.85,61.55,-15.50
21-December-2020,969.00,989.80,899.70,920.80,953.583600000000000000,10000,1232,9535836.00,6593,65.93,90.10,-48.20
18-December-2020,987.10,997.35,955.00,970.75,969.808787527380492204,7761,1129,7526686.00,4373,56.35,42.35,-16.35
17-December-2020,1028.95,1028.95,985.00,987.75,1000.121024734982332155,3396,555,3396411.00,2019,59.45,43.95,-41.20
16-December-2020,1000.00,1019.95,960.00,1001.95,987.592922207098733116,19102,2202,18865000.00,9972,52.20,59.95,1.95
15-December-2020,1063.10,1065.00,1000.00,1013.40,1018.544265527440026289,15215,2386,15497151.00,7671,50.42,65.00,-49.70
14-December-2020,1035.00,1110.00,1035.00,1061.35,1063.815944950302356293,14387,1660,15305120.00,9292,64.59,75.00,26.35
11-December-2020,1181.90,1181.90,1140.20,1161.55,1161.289785639702720963,16281,2085,18906959.00,11325,69.56,41.70,-20.35
10-December-2020,1187.00,1187.00,1126.65,1165.45,1164.509419512942257619,13058,1370,15206164.00,8001,61.27,60.35,-21.55
9-December-2020,1200.00,1202.00,1156.40,1163.60,1172.469403078463271180,23973,3032,28107609.00,10484,43.73,45.60,-36.40
8-December-2020,1045.30,1179.00,1045.30,1147.20,1128.892282353981518326,90468,9844,102128627.00,44506,49.20,133.70,101.90
7-December-2020,885.00,1035.00,861.05,996.95,981.710536215033171465,58484,6577,57414359.00,20923,35.78,173.95,111.95
4-December-2020,855.00,887.00,850.65,877.45,871.106879507333279312,12341,1979,10750330.00,6906,55.96,36.35,22.45
3-December-2020,835.00,865.00,835.00,846.70,848.712858296326201049,9908,984,8409047.00,7754,78.26,30.00,11.70
2-December-2020,833.00,849.00,830.00,834.50,836.056480811006517016,1381,261,1154594.00,983,71.18,19.00,1.50
1-December-2020,823.60,851.80,823.60,836.15,842.644570196712476421,7422,632,6254108.00,3950,53.22,28.20,12.55
27-November-2020,818.80,828.55,816.35,821.95,823.020966595593461265,2814,354,2315981.00,1699,60.38,12.20,3.15
26-November-2020,818.85,823.00,806.05,811.85,812.423166213879970363,20245,3282,16447507.00,18332,90.55,16.95,-7.00
25-November-2020,818.10,820.50,808.00,813.90,813.495315161839863713,14088,440,11460522.00,12607,89.49,12.50,-4.20
24-November-2020,817.60,822.45,815.00,818.60,819.156636913331413763,3473,531,2844931.00,2872,82.70,7.45,1.00
23-November-2020,829.85,830.00,814.00,816.60,820.213689700130378096,7670,1097,6291039.00,4059,52.92,16.00,-13.25
20-November-2020,810.00,837.30,810.00,821.75,826.157647058823529411,2125,332,1755585.00,924,43.48,27.30,11.75
19-November-2020,824.85,839.80,816.00,819.15,828.981471861471861471,5775,823,4787368.00,3370,58.35,23.80,-5.70
18-November-2020,824.35,825.00,810.00,816.65,813.748113755078351712,17230,291,14020880.00,16791,97.45,15.00,-7.70
17-November-2020,822.00,834.50,812.00,815.40,824.316023231978134608,2927,609,2412773.00,1996,68.19,22.50,-6.60
14-November-2020,811.75,825.00,805.20,822.10,814.486287625418060200,1495,184,1217657.00,953,63.75,19.80,10.35
13-November-2020,804.00,810.50,803.00,807.20,807.412234042553191489,1128,129,910761.00,1026,90.96,7.50,3.20
12-November-2020,812.85,816.55,807.40,809.15,810.249649368863955119,713,111,577708.00,567,79.52,9.15,-3.70
11-November-2020,804.80,814.70,801.20,811.35,808.759477124183006535,3825,357,3093505.00,2321,60.68,13.50,6.55
10-November-2020,825.00,825.00,802.20,805.40,805.828977089383672152,3099,548,2497264.00,2253,72.70,22.80,-19.60
9-November-2020,842.05,842.05,809.95,818.90,821.717869943676395289,1953,395,1604815.00,1131,57.91,32.10,-23.15
6-November-2020,805.00,849.90,801.00,831.00,828.246457539333528779,10233,1481,8475446.00,5364,52.42,48.90,26.00
5-November-2020,810.00,815.80,797.00,800.30,806.432485322896281800,1022,201,824174.00,661,64.68,18.80,-9.70
4-November-2020,791.65,817.95,781.05,796.30,796.843640606767794632,857,284,682895.00,515,60.09,36.90,4.65
3-November-2020,789.90,797.75,785.45,787.90,788.774461028192371475,603,140,475631.00,415,68.82,12.30,-2.00
2-November-2020,824.60,834.50,782.20,784.90,789.675416313858312164,7086,739,5595640.00,4771,67.33,52.30,-39.70
30-October-2020,790.45,822.00,790.45,809.60,812.070759911894273127,3632,426,2949441.00,2616,72.03,31.55,19.15
29-October-2020,781.60,798.80,777.00,788.15,787.701236917221693625,1051,268,827874.00,482,45.86,21.80,6.55
28-October-2020,799.80,815.00,776.00,793.10,800.882167152575315840,4116,749,3296431.00,2441,59.31,39.00,-6.70
27-October-2020,779.80,805.45,779.00,799.60,796.299671592775041050,8526,1017,6789251.00,5227,61.31,26.45,19.80
26-October-2020,793.75,799.00,779.10,780.85,787.831947743467933491,1684,340,1326709.00,1261,74.88,19.90,-12.90
23-October-2020,803.55,805.00,791.15,793.75,799.796300189194870716,4757,515,3804631.00,2323,48.83,13.85,-9.80
22-October-2020,829.00,829.00,792.00,795.80,801.139695712309820193,5061,517,4054568.00,2960,58.49,37.00,-33.20
21-October-2020,801.25,805.00,783.00,791.60,796.522522522522522522,3330,403,2652420.00,2133,64.05,22.00,-9.65
20-October-2020,795.00,800.00,789.30,795.30,795.296234309623430962,1195,232,950379.00,1125,94.14,10.70,0.30
19-October-2020,780.10,837.40,780.10,792.80,795.296444800855386260,3741,429,2975204.00,3539,94.60,57.30,12.70
16-October-2020,792.60,801.85,772.60,797.10,787.505769996020692399,2513,211,1979002.00,2207,87.82,29.25,4.50
15-October-2020,800.00,810.35,791.00,794.95,799.046171171171171171,888,191,709553.00,691,77.82,19.35,-5.05
14-October-2020,839.00,839.00,799.00,800.70,802.480535789033068229,9556,892,7668504.00,8987,94.05,40.00,-38.30
13-October-2020,820.00,829.45,810.00,821.30,821.215022091310751104,679,166,557605.00,370,54.49,19.45,1.30
12-October-2020,840.00,858.95,810.10,819.85,820.732199787460148777,3764,451,3089236.00,2962,78.69,48.85,-20.15
9-October-2020,825.00,858.00,813.50,832.40,823.856865170524827708,5659,636,4662206.00,3176,56.12,44.50,7.40
