Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2020,38.70,40.05,38.25,39.70,39.119074524425743760,384062,1397,15024150.00,286251,74.53,1.80,1.00
29-December-2020,38.50,39.20,38.20,38.85,38.663539876960594136,144344,456,5580850.00,58645,40.63,1.00,0.35
28-December-2020,38.50,38.95,38.35,38.75,38.747561172358160795,185950,460,7205109.00,68095,36.62,0.60,0.25
24-December-2020,38.55,39.20,38.00,38.15,38.585917131026021164,156488,449,6038233.00,101080,64.59,1.20,-0.40
23-December-2020,36.30,38.40,36.30,38.20,37.307782307318724337,135898,924,5070053.00,71153,52.36,2.10,1.90
22-December-2020,36.10,37.15,35.55,36.65,36.338012354691558862,269857,726,9806067.00,139731,51.78,1.60,0.55
21-December-2020,38.50,38.50,35.70,36.25,37.302650010831106939,276980,958,10332088.00,127490,46.03,2.80,-2.25
18-December-2020,39.00,39.60,38.50,38.85,38.978352566037443791,129207,429,5036276.00,55144,42.68,1.10,-0.15
17-December-2020,40.00,40.00,38.90,39.10,39.666516267499146383,164008,660,6505626.00,84620,51.60,1.10,-0.90
16-December-2020,39.20,40.20,39.20,39.80,39.826192582181240988,330124,813,13147582.00,153321,46.44,1.00,0.60
15-December-2020,38.55,39.20,38.00,39.05,38.590804165934578589,165053,445,6369528.00,88340,53.52,1.20,0.50
14-December-2020,38.15,39.25,38.15,38.55,38.822390876139735542,435079,1513,16890807.00,236935,54.46,1.10,0.40
11-December-2020,37.25,38.20,37.25,38.10,38.066089931306925216,842443,834,32068511.00,447964,53.17,0.95,0.85
10-December-2020,37.15,37.40,36.15,37.15,37.008397050614108121,1151833,1063,42627493.00,492954,42.80,1.25,0.00
9-December-2020,39.50,39.50,37.15,37.25,37.618489383845694633,189287,550,7120691.00,90359,47.74,2.35,-2.25
8-December-2020,38.00,38.45,37.10,37.70,37.660210189892585361,310386,735,11689202.00,127330,41.02,1.35,-0.30
7-December-2020,39.00,39.05,37.80,38.00,38.466025935852906813,378318,882,14552390.00,213960,56.56,1.25,-1.00
