Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2020,431.85,431.85,421.00,424.75,426.332609784605109367,5989,487,2553306.00,3239,54.08,10.85,-7.10
29-December-2020,444.50,444.50,428.00,431.05,434.670254605671703581,14493,1509,6299676.00,6058,41.80,16.50,-13.45
28-December-2020,422.05,450.00,422.05,444.35,449.804656477290358914,1044094,1309,469638343.00,1031844,98.83,27.95,22.30
24-December-2020,435.20,438.10,430.70,434.55,432.735608267443473435,7209,1643,3119591.00,5966,82.76,7.40,-0.65
23-December-2020,439.00,439.00,426.90,431.35,432.535110876451953537,3788,375,1638443.00,2262,59.71,12.10,-7.65
22-December-2020,410.00,438.05,408.00,429.05,417.838244885858286391,16865,1209,7046842.00,8658,51.34,30.05,19.05
21-December-2020,448.00,450.00,414.70,421.65,449.328333702398991242,1034143,2850,464669751.00,1012601,97.92,35.30,-26.35
18-December-2020,468.10,473.30,440.00,448.45,454.551168412570507655,11169,894,5076882.00,4631,41.46,33.30,-19.65
17-December-2020,478.00,478.60,465.35,467.30,471.481457242582897033,9168,640,4322542.00,4083,44.54,13.25,-10.70
16-December-2020,459.00,483.00,451.50,473.20,467.176220983442882103,36057,2185,16844973.00,16141,44.77,31.50,14.20
15-December-2020,453.90,460.00,446.60,458.00,453.628085547390239306,21228,1103,9629617.00,11130,52.43,13.40,4.10
14-December-2020,452.30,454.55,448.00,452.00,452.005719970156677443,8042,642,3635030.00,5456,67.84,6.55,-0.30
11-December-2020,440.10,455.00,440.10,452.05,448.539177277179236043,16336,1157,7327336.00,10245,62.71,14.90,11.95
10-December-2020,439.95,448.00,433.85,445.30,439.475903614457831325,16766,1330,7368253.00,9412,56.14,14.15,5.35
9-December-2020,439.95,442.80,434.45,442.20,440.601070552375288082,13451,885,5926525.00,8726,64.87,8.35,2.25
8-December-2020,433.00,440.00,430.00,438.15,436.951393728222996515,11480,776,5016202.00,6126,53.36,10.00,5.15
7-December-2020,427.00,435.00,427.00,434.05,432.686266447368421052,9728,683,4209172.00,4882,50.18,8.00,7.05
4-December-2020,421.00,429.00,421.00,426.90,426.248715624055605923,9927,881,4231371.00,5559,56.00,8.00,5.90
3-December-2020,411.85,423.20,411.75,420.85,419.210613598673300165,6633,481,2780624.00,3348,50.47,11.45,9.00
2-December-2020,409.00,417.50,405.00,408.70,411.858838166331706383,10449,725,4303513.00,5989,57.32,12.50,-0.30
1-December-2020,414.00,414.00,406.05,408.45,408.132218239745121465,2511,284,1024820.00,1515,60.33,7.95,-5.55
27-November-2020,406.95,411.20,402.80,405.20,406.880591630591630591,8316,744,3383619.00,4717,56.72,8.40,-1.75
26-November-2020,408.80,411.95,401.00,403.25,404.452545568824638592,4773,298,1930452.00,2976,62.35,10.95,-5.55
25-November-2020,419.95,423.50,406.65,409.40,416.012531991880681316,11331,934,4713838.00,5537,48.87,16.85,-10.55
24-November-2020,420.00,420.00,411.15,415.35,416.269001982815598149,3026,273,1259630.00,1426,47.12,8.85,-4.65
23-November-2020,420.00,425.00,415.15,419.60,420.135964912280701754,15732,2133,6609579.00,8644,54.95,9.85,-0.40
20-November-2020,423.00,425.50,415.00,421.25,422.274385826253046170,15183,2853,6411392.00,9182,60.48,10.50,-1.75
19-November-2020,409.90,421.25,406.70,417.90,417.660597764088523842,21915,1585,9153032.00,14645,66.83,14.55,8.00
18-November-2020,395.45,408.00,395.45,406.45,402.154743652069855278,26741,1591,10754020.00,17192,64.29,12.55,11.00
17-November-2020,390.00,402.00,390.00,395.45,399.737837944253739624,558746,2684,223351918.00,536670,96.05,12.00,5.45
14-November-2020,385.00,391.00,385.00,390.30,389.166155643159585340,6849,172,2665399.00,6073,88.67,6.00,5.30
13-November-2020,379.90,385.00,378.05,382.00,382.333563195744261649,10151,848,3881068.00,5704,56.19,6.95,2.10
12-November-2020,375.00,384.55,375.00,380.95,380.081063166964936700,15087,758,5734283.00,8065,53.46,9.55,5.95
11-November-2020,381.80,387.55,376.10,382.35,382.961612100325483438,10446,966,4000417.00,3375,32.31,11.45,0.55
10-November-2020,381.00,385.10,371.20,376.65,378.222222222222222222,6291,459,2379396.00,2524,40.12,13.90,-4.35
9-November-2020,386.60,389.40,378.65,381.30,383.590352941176470588,4250,311,1630259.00,2756,64.85,10.75,-5.30
6-November-2020,370.00,382.95,370.00,380.40,377.550045326081160347,18753,1240,7080196.00,9973,53.18,12.95,10.40
5-November-2020,361.50,373.00,360.60,370.25,367.330417625780993094,15205,1318,5585259.00,7022,46.18,12.40,8.75
4-November-2020,358.00,362.30,351.90,361.20,357.796383647798742138,3816,459,1365351.00,1300,34.07,10.40,3.20
3-November-2020,356.00,364.15,352.20,353.65,355.418213313536253402,8082,1117,2872490.00,5688,70.38,11.95,-2.35
2-November-2020,366.50,369.35,356.00,358.30,360.825638380190869228,7754,986,2797842.00,5730,73.90,13.35,-8.20
30-October-2020,370.20,375.15,364.55,366.50,369.660064239828693790,5604,683,2071575.00,3585,63.97,10.60,-3.70
29-October-2020,370.00,370.65,366.10,367.95,368.275179856115107913,4448,712,1638088.00,2925,65.76,4.55,-2.05
28-October-2020,377.00,382.25,371.85,373.10,374.732466996699669966,4848,667,1816703.00,3341,68.92,10.40,-3.90
27-October-2020,371.10,384.00,369.00,377.45,378.375435106911984087,4022,492,1521826.00,2090,51.96,15.00,6.35
26-October-2020,383.25,386.00,375.05,377.70,379.675395033860045146,4430,585,1681962.00,2438,55.03,10.95,-5.55
23-October-2020,387.70,389.60,378.45,382.20,382.614490603363006923,4044,569,1547293.00,2577,63.72,11.15,-5.50
