Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2020,615.15,616.20,607.75,613.20,612.596294490492442710,4102,195,2512870.00,1361,33.18,8.45,-1.95
29-December-2020,617.90,618.85,605.15,611.40,611.659356425497028079,4879,279,2984286.00,2646,54.23,13.70,-6.50
28-December-2020,621.00,622.00,607.15,610.80,614.438631790744466800,5467,311,3359136.00,2728,49.90,14.85,-10.20
24-December-2020,615.00,622.05,605.30,610.95,615.932453283044745414,5833,416,3592734.00,2163,37.08,16.75,-4.05
23-December-2020,613.30,621.60,605.10,611.80,612.204411351503231244,7118,481,4357671.00,2128,29.90,16.50,-1.50
22-December-2020,601.55,620.85,582.00,611.75,603.454381860716213784,16671,773,10060188.00,5268,31.60,38.85,10.20
21-December-2020,638.00,648.00,526.80,601.25,612.432794510542602879,52027,2311,31863041.00,11414,21.94,121.20,-36.75
18-December-2020,608.25,637.50,597.30,632.75,624.292407726142665901,26145,1282,16322125.00,9266,35.44,40.20,24.50
17-December-2020,608.55,621.15,603.30,607.75,614.210535536997021549,17123,800,10517127.00,6660,38.90,17.85,-0.80
16-December-2020,594.80,611.50,594.80,608.30,604.136890951276102088,18964,1007,11456852.00,9635,50.81,16.70,13.50
15-December-2020,599.70,604.20,592.00,593.75,596.612782932963316277,11531,848,6879542.00,3137,27.20,12.20,-5.95
14-December-2020,602.00,610.85,595.00,597.60,600.235444601270289343,11336,476,6804269.00,3672,32.39,15.85,-4.40
11-December-2020,620.00,627.05,597.00,601.30,619.395788956251024086,219708,1256,136086210.00,186725,84.99,30.05,-18.70
10-December-2020,625.00,627.20,613.55,618.55,618.427249279320285237,6591,614,4076054.00,3562,54.04,13.65,-6.45
9-December-2020,622.40,633.30,620.50,624.90,626.196032897919690372,10335,573,6471736.00,3974,38.45,12.80,2.50
8-December-2020,627.00,627.20,614.55,619.65,619.625000000000000000,10704,705,6632466.00,6930,64.74,12.65,-7.35
7-December-2020,610.00,632.95,608.90,621.25,620.889625042008737817,20829,1333,12932510.00,6493,31.17,24.05,11.25
4-December-2020,593.15,612.00,591.35,608.60,602.396732257574991147,19769,1159,11908781.00,10570,53.47,20.65,15.45
3-December-2020,571.25,604.70,571.25,594.00,595.890003847140292382,31192,2107,18587001.00,12589,40.36,33.45,22.75
2-December-2020,599.80,599.80,572.05,582.05,580.586814370336179706,12999,787,7547048.00,8073,62.10,27.75,-17.75
1-December-2020,585.00,594.85,573.05,590.15,590.073329053427491261,28038,1852,16544476.00,11030,39.34,21.80,5.15
27-November-2020,548.35,578.15,547.95,572.70,563.706685573236699753,38082,2396,21467078.00,21949,57.64,30.20,24.35
26-November-2020,555.05,555.05,540.75,548.35,547.531269349845201238,3230,305,1768526.00,1951,60.40,14.30,-6.70
25-November-2020,565.00,570.65,551.05,555.75,563.824834725567570337,19513,859,11001914.00,14110,72.31,19.60,-9.25
24-November-2020,567.00,567.10,554.10,564.00,560.618300067279659116,8918,720,4999594.00,3137,35.18,13.00,-3.00
23-November-2020,572.50,575.00,543.30,552.55,562.616195177520410100,10534,918,5926599.00,4543,43.13,31.70,-19.95
20-November-2020,564.35,571.90,555.60,567.75,565.481434384537131230,7864,626,4446946.00,1426,18.13,16.30,3.40
19-November-2020,564.55,582.75,555.00,559.25,568.876538548667220418,13243,870,7533632.00,4235,31.98,27.75,-5.30
18-November-2020,563.90,574.90,559.60,570.60,569.635897435897435897,13260,801,7553372.00,6378,48.10,15.30,6.70
17-November-2020,537.50,566.80,537.50,560.65,558.311424156394868293,27827,1631,15536132.00,9660,34.71,29.30,23.15
14-November-2020,545.00,545.30,539.25,541.10,541.216374269005847953,1710,183,925480.00,1176,68.77,6.05,-3.90
13-November-2020,546.15,551.00,536.00,540.45,543.349939159687924987,13971,899,7591142.00,6084,43.55,15.00,-5.70
12-November-2020,521.00,554.00,511.30,548.70,541.768404280967305736,95399,5910,51684164.00,46106,48.33,42.70,27.70
11-November-2020,491.10,520.00,491.10,518.05,511.244966373081808149,48027,3127,24553562.00,25540,53.18,28.90,26.95
10-November-2020,496.05,500.05,489.35,491.60,494.446198346777254403,250299,1652,123759389.00,204254,81.60,10.70,-4.45
9-November-2020,508.00,509.85,492.55,495.80,501.700431300061614294,8115,613,4071299.00,3642,44.88,17.30,-12.20
6-November-2020,506.95,507.00,492.50,499.20,500.868588669125041904,11932,656,5976364.00,3895,32.64,14.50,-7.75
5-November-2020,490.00,514.40,488.50,503.55,504.513558725127663321,45432,2907,22921060.00,14618,32.18,25.90,13.55
