Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2020,134.00,139.30,132.75,137.10,137.028738431563565513,80067,959,10971480.00,45531,56.87,6.55,3.10
29-December-2020,134.30,135.70,132.00,133.60,133.913916013812052129,53866,896,7213407.00,26634,49.44,3.70,-0.70
28-December-2020,133.00,138.00,133.00,134.30,135.612385544515877654,41064,466,5568787.00,14120,34.39,5.00,1.30
24-December-2020,135.55,136.40,131.65,133.05,134.326083505318304492,69289,1234,9307320.00,32424,46.80,4.75,-2.50
23-December-2020,129.00,136.80,129.00,134.45,134.243374583262699892,70788,2305,9502820.00,48297,68.23,7.80,5.45
22-December-2020,128.00,135.00,122.00,129.55,126.856557337102197962,205190,2808,26029697.00,79902,38.94,13.00,1.55
21-December-2020,140.00,146.00,125.10,128.05,134.474629891688891307,146984,3260,19765619.00,56975,38.76,20.90,-11.95
18-December-2020,142.90,142.90,136.00,138.05,137.770651340996168582,65250,1634,8989535.00,37005,56.71,6.90,-4.85
17-December-2020,141.20,143.00,136.00,141.30,140.742223485925504691,87925,1539,12374760.00,62462,71.04,7.00,0.10
16-December-2020,145.00,145.00,138.75,140.45,141.447156724023628825,101063,2412,14295074.00,56116,55.53,6.25,-4.55
15-December-2020,140.10,148.75,138.00,143.35,142.943047875927174645,148300,3100,21198454.00,60293,40.66,10.75,3.25
14-December-2020,131.85,139.30,130.55,137.90,134.880386582595278881,164622,4171,22204279.00,96516,58.63,8.75,6.05
11-December-2020,129.40,134.75,126.60,129.60,130.352310241962214119,75425,1593,9831823.00,26793,35.52,8.15,0.20
10-December-2020,123.30,128.95,117.95,127.90,122.891103642755050797,77661,1849,9543846.00,31938,41.12,11.00,4.60
9-December-2020,126.00,128.15,122.00,123.15,123.980377175655025902,53662,1066,6653035.00,32105,59.83,6.15,-2.85
8-December-2020,130.00,130.50,124.15,126.00,126.230502513807365579,40377,796,5096809.00,21246,52.62,6.35,-4.00
7-December-2020,129.45,131.90,128.05,129.65,130.260505379735744576,28533,819,3716723.00,16319,57.19,3.85,0.20
4-December-2020,131.00,133.00,113.00,128.05,128.757337890196651802,109432,1994,14090173.00,57508,52.55,20.00,-2.95
3-December-2020,124.10,131.00,124.10,129.85,128.731837318241413615,151781,2831,19539047.00,90715,59.77,6.90,5.75
2-December-2020,122.95,126.95,122.55,124.75,124.711508467023172905,89760,804,11194105.00,68009,75.77,4.40,1.80
1-December-2020,120.20,125.00,120.00,122.20,122.693992203623022242,69776,1357,8561096.00,46905,67.22,5.00,2.00
27-November-2020,126.20,126.20,118.55,120.20,121.964025015447921830,147269,2545,17961520.00,87587,59.47,7.65,-6.00
26-November-2020,124.75,128.70,122.20,125.55,125.137432409038604494,98201,1703,12288621.00,40490,41.23,6.50,0.80
25-November-2020,119.10,127.40,117.95,123.35,122.804922830489008885,397048,6130,48759449.00,206279,51.95,9.45,4.25
24-November-2020,107.20,120.05,107.20,118.20,115.823534683969750723,267775,3421,31014647.00,103625,38.70,12.85,11.00
23-November-2020,107.00,107.85,104.50,106.60,106.514172431246836510,59270,1078,6313095.00,19853,33.50,3.35,-0.40
20-November-2020,103.05,107.50,102.65,106.10,105.534311619598887557,132681,1984,14002398.00,59231,44.64,4.85,3.05
19-November-2020,100.80,106.80,99.10,104.40,104.031019494856486569,202002,2437,21014474.00,74949,37.10,7.70,3.60
18-November-2020,100.05,100.55,97.35,99.85,99.034236838935068064,83010,1206,8220832.00,47985,57.81,3.20,-0.20
17-November-2020,97.75,102.50,97.75,99.20,100.190927853654685508,88667,1299,8883629.00,31655,35.70,4.75,1.45
14-November-2020,96.95,99.40,95.90,97.00,97.674579156421411008,42296,595,4131244.00,26080,61.66,3.50,0.05
13-November-2020,91.25,97.75,91.25,96.75,96.058512043267719011,159010,3398,15274264.00,87615,55.10,6.50,5.50
12-November-2020,87.00,93.00,85.85,92.25,90.332802817241907279,248186,2055,22419337.00,162685,65.55,7.15,5.25
11-November-2020,89.10,90.10,85.25,88.70,88.053030881184429669,222757,2130,19614429.00,142003,63.75,4.85,-0.40
10-November-2020,89.65,90.85,88.25,89.70,89.650530271453995726,151149,1787,13550588.00,106852,70.69,2.60,0.05
9-November-2020,87.75,91.00,87.75,89.80,89.548879351454458750,119529,1333,10703688.00,95529,79.92,3.25,2.05
6-November-2020,87.00,91.20,87.00,87.80,88.588573143472141733,96632,1964,8560491.00,61412,63.55,4.20,0.80
5-November-2020,86.95,92.00,86.95,89.60,89.790721171672228401,107880,1710,9686623.00,62705,58.12,5.05,2.65
4-November-2020,80.80,88.30,80.35,86.95,86.167687288241937507,79690,1129,6866703.00,31087,39.01,7.95,6.15
3-November-2020,81.85,82.30,80.00,80.10,80.652885073915116833,41940,425,3382582.00,29805,71.07,2.30,-1.75
2-November-2020,79.25,82.90,79.25,80.95,81.765193765193765193,13986,201,1143568.00,9223,65.94,3.65,1.70
30-October-2020,82.10,83.90,80.50,81.90,81.985051140833988985,26691,552,2188263.00,11737,43.97,3.40,-0.20
29-October-2020,80.10,83.75,78.80,81.90,82.212752792031391488,66260,745,5447417.00,35585,53.71,4.95,1.80
28-October-2020,83.10,84.05,80.95,81.60,82.386005426938398475,17321,352,1427008.00,10362,59.82,3.10,-1.50
27-October-2020,80.35,84.60,79.05,83.00,82.433692940573939764,60529,1023,4989629.00,32695,54.02,5.55,2.65
26-October-2020,81.05,83.55,80.55,81.10,82.044726997206042524,42234,659,3465077.00,21122,50.01,3.00,0.05
23-October-2020,84.00,85.60,82.85,83.25,84.016310429722470904,35744,655,3003079.00,21980,61.49,2.75,-0.75
22-October-2020,85.55,85.70,82.90,83.55,84.066777454646170890,36105,567,3035231.00,13543,37.51,2.80,-2.00
21-October-2020,83.60,87.45,82.60,85.25,85.243466685807129387,153253,2423,13063817.00,69880,45.60,4.85,1.65
20-October-2020,77.50,84.30,77.50,82.85,82.271958283530138047,152266,2002,12527222.00,45781,30.07,6.80,5.35
19-October-2020,83.95,83.95,77.15,78.40,79.459761173522993615,197968,2573,15730490.00,66807,33.75,6.80,-5.55
16-October-2020,83.45,85.40,80.60,81.80,82.529502105816542916,169293,2399,13971667.00,50633,29.91,4.80,-1.65
15-October-2020,90.00,90.15,82.20,82.60,85.362378738304345330,209052,2289,17845176.00,79970,38.25,7.95,-7.40
14-October-2020,89.90,90.75,87.30,88.85,88.794581863706261325,174931,1714,15532925.00,64265,36.74,3.45,-1.05
13-October-2020,88.50,93.85,82.45,89.05,90.153661818868637265,169424,2258,15274194.00,55938,33.02,11.40,0.55
12-October-2020,99.95,99.95,86.60,88.50,92.043058130266963989,334989,4028,30833412.00,99258,29.63,13.35,-11.45
9-October-2020,89.80,99.75,87.00,97.10,94.678406114140330872,796318,6252,75394119.00,227070,28.51,12.75,7.30
8-October-2020,89.50,89.50,86.15,88.45,87.894231345036782488,217087,2744,19080695.00,40479,18.65,3.35,-1.05
7-October-2020,89.85,89.85,86.00,87.55,86.846818145310880531,261467,4691,22707577.00,42490,16.25,3.85,-2.30
6-October-2020,85.40,88.95,84.55,87.70,86.185959227356169779,269102,3401,23192814.00,89448,33.24,4.40,2.30
5-October-2020,80.00,85.70,79.75,83.70,83.538513561614579625,393316,4745,32857034.00,156551,39.80,5.95,3.70
1-October-2020,73.90,82.45,73.90,78.80,78.633307149234724993,409918,4762,32233208.00,178823,43.62,8.55,4.90
30-September-2020,71.60,74.65,71.35,72.55,73.316215764863059452,95808,1587,7024280.00,30935,32.29,3.30,0.95
29-September-2020,74.00,74.00,70.20,71.70,71.269785540829164106,102537,1719,7307790.00,41119,40.10,3.80,-2.30
28-September-2020,73.95,76.65,72.10,72.95,74.228666274897160504,159958,1805,11873469.00,60039,37.53,4.55,-1.00
25-September-2020,66.00,74.55,65.00,72.55,71.536932321083236750,299399,3045,21418086.00,121451,40.56,9.55,6.55
24-September-2020,61.75,68.25,60.50,64.40,64.324941269706490051,141324,1386,9090658.00,69666,49.30,7.75,2.65
23-September-2020,64.90,64.90,62.15,63.00,63.599647331104661841,54442,516,3462492.00,32864,60.37,2.75,-1.90
22-September-2020,59.00,62.85,56.60,62.40,61.349155725815449845,215096,1418,13195958.00,139993,65.08,6.25,3.40
21-September-2020,62.10,65.30,58.25,59.15,61.922462954774780903,88203,850,5461747.00,45164,51.20,7.05,-2.95
18-September-2020,63.50,65.50,62.40,62.75,63.757720443295807963,22829,261,1455525.00,9481,41.53,3.10,-0.75
17-September-2020,62.00,64.10,61.20,63.00,63.072169615573244803,53014,632,3343708.00,29868,56.34,2.90,1.00
16-September-2020,64.00,64.25,61.55,62.35,62.936219047619047619,105000,1144,6608303.00,39339,37.47,2.70,-1.65
15-September-2020,63.55,67.05,62.45,64.30,65.146502753233448584,195225,2249,12718226.00,87126,44.63,4.60,0.75
14-September-2020,59.25,64.20,58.95,63.60,62.062640323304894476,142528,1338,8845664.00,84798,59.50,5.25,4.35
11-September-2020,58.50,59.45,58.05,58.40,58.590627020038784744,15470,140,906397.00,11490,74.27,1.40,-0.10
10-September-2020,59.90,59.90,56.85,58.40,58.312321788389157130,26303,408,1533789.00,11685,44.42,3.05,-1.50
9-September-2020,57.00,58.10,55.25,56.80,56.652266642464945319,44074,562,2496892.00,30592,69.41,2.85,-0.20
8-September-2020,59.75,60.35,58.05,58.20,59.037488409060802755,15098,300,891348.00,10079,66.76,2.30,-1.55
7-September-2020,59.00,61.70,58.75,59.55,60.191140306552130705,29685,302,1786774.00,13109,44.16,2.95,0.55
4-September-2020,58.20,62.75,58.20,59.40,60.331975992306927081,150785,1247,9097157.00,92188,61.14,4.55,1.20
3-September-2020,59.25,61.65,59.25,60.30,60.627385496183206106,12576,189,762450.00,3802,30.23,2.40,1.05
2-September-2020,58.85,61.40,58.20,59.45,60.104153296048409278,43628,477,2622224.00,20704,47.46,3.20,0.60
1-September-2020,59.20,59.25,57.10,57.75,57.880698303417752643,20335,409,1177004.00,14527,71.44,2.15,-1.45
31-August-2020,63.35,64.85,57.70,59.15,62.325478457957698523,196778,1942,12264283.00,126574,64.32,7.15,-4.20
28-August-2020,62.00,65.75,61.70,62.65,63.748222312064496183,126147,1552,8041647.00,53013,42.02,4.05,0.65
27-August-2020,61.95,63.65,60.70,61.50,61.952078946700829549,78838,780,4884178.00,31523,39.98,2.95,-0.45
26-August-2020,60.40,61.50,58.75,61.10,60.604160884695032129,93682,1042,5677519.00,49106,52.42,2.75,0.70
25-August-2020,60.30,63.00,57.25,58.80,60.430948264396861284,150380,1887,9087606.00,78659,52.31,5.75,-1.50
24-August-2020,65.90,65.90,59.50,60.40,62.188551652189123257,320151,2481,19909727.00,117605,36.73,6.40,-5.50
21-August-2020,55.05,64.35,55.00,64.30,61.421271541090257853,547210,3197,33610334.00,235338,43.01,9.35,9.25
20-August-2020,50.30,54.45,50.25,53.65,52.754650680104646335,207174,1411,10929392.00,100150,48.34,4.20,3.35
19-August-2020,50.25,52.35,50.25,51.15,51.544303221845797048,43981,316,2266970.00,20718,47.11,2.10,0.90
18-August-2020,50.00,51.50,49.40,50.35,50.542379913334767509,65078,783,3289197.00,37452,57.55,2.10,0.35
17-August-2020,46.95,51.00,46.95,50.45,49.775594868611628388,96660,914,4811309.00,49388,51.09,4.05,3.50
14-August-2020,46.15,47.60,45.75,46.55,46.550722180782532040,29494,251,1372967.00,17212,58.36,1.85,0.40
13-August-2020,45.80,46.50,45.60,45.70,45.860854899067095346,18973,245,870118.00,9496,50.05,0.90,-0.10
12-August-2020,46.00,46.00,45.15,45.60,45.475244334657931478,9311,115,423420.00,5137,55.17,0.85,-0.40
11-August-2020,45.75,46.45,45.35,45.80,45.852303007232584697,26270,265,1204540.00,9850,37.50,1.10,0.05
10-August-2020,44.05,46.70,44.05,45.30,45.402034407427635172,43944,515,1995147.00,24868,56.59,2.65,1.25
7-August-2020,45.10,47.75,44.80,46.30,46.239847073121328742,39496,435,1826289.00,15182,38.44,2.95,1.20
6-August-2020,43.60,45.45,43.60,45.05,44.499133290758142505,43844,411,1951020.00,16915,38.58,1.85,1.45
5-August-2020,41.85,44.25,41.85,42.85,43.028866822429906542,85600,467,3683271.00,37687,44.03,2.40,1.00
4-August-2020,41.45,45.65,41.45,42.80,43.974440741591971194,208848,1683,9183974.00,66303,31.75,4.20,1.35
3-August-2020,40.55,42.00,39.00,41.15,40.960900856185630971,80590,794,3301039.00,34493,42.80,3.00,0.60
31-July-2020,44.10,44.40,42.75,42.95,43.273065930184013616,31139,283,1347480.00,19596,62.93,1.65,-1.15
30-July-2020,45.55,46.10,44.20,44.45,45.118962086879628606,36188,316,1632765.00,19734,54.53,1.90,-1.10
29-July-2020,46.35,47.00,45.20,45.40,46.288941189977325564,69682,601,3225506.00,20106,28.85,1.80,-0.95
28-July-2020,47.35,47.85,46.05,46.15,46.464816020335410273,64518,499,2997817.00,44257,68.60,1.80,-1.20
27-July-2020,50.70,50.70,47.10,47.55,48.475112199102407180,93138,765,4514875.00,41145,44.18,3.60,-3.15
24-July-2020,48.05,51.50,48.05,50.15,50.149163365168659821,326367,1982,16367032.00,58429,17.90,3.45,2.10
23-July-2020,47.60,49.75,47.60,49.00,48.790576456623832378,135639,1192,6617905.00,37123,27.37,2.15,1.40
22-July-2020,48.85,49.10,47.80,47.90,48.450518049502508017,48644,624,2356827.00,19873,40.85,1.30,-0.95
21-July-2020,49.55,50.25,48.40,48.85,49.168883132949317663,51734,538,2543703.00,17533,33.89,1.85,-0.70
20-July-2020,48.10,50.70,48.05,49.30,49.246625490284477706,110905,1097,5461697.00,49643,44.76,2.65,1.20
17-July-2020,48.70,49.15,48.00,48.25,48.660425423512928289,7851,95,382033.00,2730,34.77,1.15,-0.45
16-July-2020,48.85,49.10,47.70,48.35,48.417764385899418697,37502,248,1815763.00,22029,58.74,1.40,-0.50
15-July-2020,49.55,51.20,48.75,49.00,50.095462656130512362,141228,741,7074882.00,47214,33.43,2.45,-0.55
14-July-2020,49.95,50.00,47.85,48.65,48.939333311820323340,30989,402,1516581.00,10822,34.92,2.15,-1.30
13-July-2020,50.95,51.15,49.90,50.05,50.410907693382712598,28622,259,1442861.00,14042,49.06,1.25,-0.90
10-July-2020,50.95,52.20,49.70,50.75,50.887856617504741996,103332,796,5258344.00,45448,43.98,2.50,-0.20
9-July-2020,49.45,51.00,49.45,50.75,50.297643426964574991,65434,543,3291176.00,39678,60.64,1.55,1.30
8-July-2020,52.45,52.50,49.30,49.75,51.235308408187673639,160534,1145,8225009.00,80050,49.86,3.20,-2.70
7-July-2020,49.90,52.45,47.90,51.55,50.945211146670829755,128110,805,6526591.00,33066,25.81,4.55,1.65
6-July-2020,50.45,51.45,49.20,49.40,49.886426592797783933,85196,789,4250124.00,38912,45.67,2.25,-1.05
3-July-2020,52.00,52.25,48.55,49.30,50.380673797797923397,63758,651,3212171.00,24300,38.11,3.70,-2.70
2-July-2020,49.70,53.25,49.05,51.30,51.500455065079030160,317537,2413,16353300.00,150286,47.33,4.20,1.60
1-July-2020,45.85,49.85,45.30,49.20,48.546732357629329082,269139,1483,13065819.00,95694,35.56,4.55,3.35
30-June-2020,45.40,47.45,44.00,46.00,46.059770899896750485,123003,847,5665490.00,64662,52.57,3.45,0.60
29-June-2020,47.40,47.40,43.70,44.45,44.885193659094623304,48952,380,2197220.00,23925,48.87,3.70,-2.95
26-June-2020,44.75,47.90,44.75,45.75,46.458989539950536920,93403,697,4339409.00,45433,48.64,3.15,1.00
25-June-2020,42.70,45.75,42.70,44.15,44.513346918718927043,138384,662,6159935.00,63247,45.70,3.05,1.45
24-June-2020,43.75,46.55,43.15,44.10,45.075225965488907148,194720,1165,8777048.00,70414,36.16,3.40,0.35
23-June-2020,44.50,44.75,43.20,43.50,43.621870849725612048,79814,324,3481636.00,50690,63.51,1.55,-1.00
22-June-2020,43.85,45.25,43.70,43.90,44.233468572498595593,80105,553,3543322.00,46504,58.05,1.55,0.05
19-June-2020,44.00,45.50,43.45,43.80,44.422699824686708655,61604,488,2736616.00,30507,49.52,2.05,-0.20
18-June-2020,42.85,43.60,42.65,43.35,43.199443033827504300,48836,408,2109688.00,27747,56.82,0.95,0.50
17-June-2020,43.00,45.45,42.25,42.55,43.703364557795748106,109316,891,4777477.00,43195,39.51,3.20,-0.45
