Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2020,55.80,55.80,53.50,54.70,54.366122695678452704,6618,151,359795.00,2685,40.57,2.30,-1.10
29-December-2020,54.85,56.50,54.00,54.80,55.136987038132630559,18593,457,1025162.00,10225,54.99,2.50,-0.05
28-December-2020,52.50,54.10,52.50,53.70,53.717979359043997827,18410,283,988948.00,10425,56.63,1.60,1.20
24-December-2020,53.90,54.55,53.30,53.50,53.640464847697415908,13854,170,743135.00,7334,52.94,1.25,-0.40
23-December-2020,50.45,53.15,50.45,52.90,52.517392575270388775,17105,389,898310.00,11517,67.33,2.70,2.45
22-December-2020,50.60,52.45,47.70,50.10,49.403523648012059543,31842,625,1573107.00,26248,82.43,4.75,-0.50
21-December-2020,57.40,57.60,51.25,53.00,55.311559747447189960,12829,176,709592.00,8753,68.23,6.35,-4.40
18-December-2020,55.05,57.90,55.05,56.50,56.825644780733870311,12291,353,698444.00,9790,79.65,2.85,1.45
17-December-2020,58.00,59.25,57.00,57.30,57.743231371296222346,12521,183,723003.00,4316,34.47,2.25,-0.70
16-December-2020,57.25,58.65,56.95,57.15,57.641102141102141102,11396,165,656878.00,3662,32.13,1.70,-0.10
15-December-2020,58.50,58.50,56.50,57.40,57.109056424845898530,10545,171,602215.00,9521,90.29,2.00,-1.10
14-December-2020,58.55,58.55,57.35,57.70,57.729801324503311258,13590,231,784548.00,6286,46.25,1.20,-0.85
11-December-2020,58.70,60.25,56.25,57.90,58.691835557752512769,24276,501,1424803.00,18421,75.88,4.00,-0.80
10-December-2020,58.50,59.00,56.60,57.45,57.399511897498474679,16390,228,940778.00,5655,34.50,2.40,-1.05
9-December-2020,56.25,60.55,56.25,58.75,58.858476277026771176,52818,1316,3108787.00,32719,61.95,4.30,2.50
8-December-2020,58.00,59.00,55.35,55.95,57.112387002198876129,8186,183,467522.00,6451,78.81,3.65,-2.05
7-December-2020,57.85,59.35,56.85,57.65,58.055353901996370235,13224,251,767724.00,9081,68.67,2.50,-0.20
4-December-2020,59.50,59.50,56.35,56.85,58.120712228332024090,11457,292,665889.00,8073,70.46,3.15,-2.65
3-December-2020,56.70,58.95,55.00,58.15,57.599668752886468236,62793,731,3616856.00,33108,52.73,3.95,1.45
2-December-2020,58.00,58.80,56.00,56.30,57.510110916937123292,28039,516,1612526.00,23472,83.71,2.80,-1.70
1-December-2020,53.60,58.00,53.05,57.40,56.314389241506772695,41121,490,2315704.00,32677,79.47,4.95,3.80
27-November-2020,52.10,55.15,51.90,53.35,53.594852941176470588,36720,853,1968003.00,25915,70.57,3.25,1.25
26-November-2020,51.75,53.00,51.55,52.25,52.256381521603785331,8031,169,419671.00,5145,64.06,1.45,0.50
25-November-2020,53.95,53.95,51.45,51.75,52.290393979637007525,6777,138,354372.00,4077,60.16,2.50,-2.20
24-November-2020,51.00,51.90,50.85,51.65,51.484396575531621099,3621,105,186425.00,2397,66.20,1.05,0.65
23-November-2020,50.35,51.30,49.15,50.65,50.169368886506766715,14926,347,748828.00,9709,65.05,2.15,0.30
20-November-2020,50.00,51.90,49.75,50.35,50.439965612761486292,10469,360,528056.00,6687,63.87,2.15,0.35
19-November-2020,54.95,54.95,50.20,50.55,51.617793133232563161,4631,104,239042.00,2220,47.94,4.75,-4.40
18-November-2020,52.95,52.95,50.00,51.90,50.921133030726256983,22912,340,1166705.00,18217,79.51,2.95,-1.05
17-November-2020,50.65,51.95,49.10,51.65,50.603709886848451122,26955,389,1364023.00,21797,80.86,2.85,1.00
14-November-2020,51.15,51.15,49.55,49.75,49.863380281690140845,710,27,35403.00,447,62.96,1.60,-1.40
13-November-2020,48.40,49.80,47.50,49.35,49.036621681556104669,15783,275,773945.00,14329,90.79,2.30,0.95
12-November-2020,45.60,49.50,45.60,48.50,48.493595793447485506,7417,169,359677.00,4361,58.80,3.90,2.90
11-November-2020,48.60,49.00,47.80,48.00,48.190412458936610293,8219,195,396077.00,6183,75.23,1.20,-0.60
10-November-2020,49.70,50.90,48.65,48.80,49.403876944190301921,17488,342,863975.00,11596,66.31,2.25,-0.90
9-November-2020,51.50,51.50,49.70,50.50,50.424297370806890299,8824,246,444944.00,7407,83.94,1.80,-1.00
6-November-2020,54.90,54.90,48.80,50.70,49.699083861874559548,8514,106,423138.00,4037,47.42,6.10,-4.20
5-November-2020,48.30,48.90,47.30,48.50,48.225266362252663622,3285,143,158420.00,2391,72.79,1.60,0.20
4-November-2020,46.80,47.95,46.60,47.15,47.189746611667648791,5091,131,240243.00,2712,53.27,1.35,0.35
3-November-2020,47.00,47.45,46.40,46.70,46.599784250269687162,4635,78,215990.00,3983,85.93,1.05,-0.30
2-November-2020,47.00,48.95,46.30,46.95,47.909677419354838709,11470,271,549524.00,8625,75.20,2.65,-0.05
30-October-2020,48.50,49.75,47.55,48.20,48.655307994757536041,9919,240,482612.00,5481,55.26,2.20,-0.30
29-October-2020,49.00,49.40,47.50,48.65,48.379637787567302985,10215,280,494198.00,4897,47.94,1.90,-0.35
28-October-2020,49.40,50.85,49.00,49.20,49.454178008743710302,12123,222,599533.00,9418,77.69,1.85,-0.20
27-October-2020,52.50,52.50,49.70,50.50,50.492070684186678749,2207,53,111436.00,1852,83.91,2.80,-2.00
26-October-2020,51.00,51.35,50.00,50.20,50.215653995809637832,6682,142,335541.00,5038,75.40,1.35,-0.80
23-October-2020,50.35,51.70,50.35,50.80,50.971964167219641672,6028,139,307259.00,4442,73.69,1.35,0.45
22-October-2020,50.40,52.00,50.40,51.50,51.257653061224489795,9016,135,462139.00,6884,76.35,1.60,1.10
21-October-2020,51.05,52.25,50.00,50.40,50.901234567901234567,6642,177,338086.00,4651,70.02,2.25,-0.65
20-October-2020,50.90,51.60,50.25,51.40,50.938805245264691597,4118,104,209766.00,2862,69.50,1.35,0.50
19-October-2020,51.70,52.00,50.10,50.45,50.759163591635916359,4065,103,206336.00,2765,68.02,1.90,-1.25
16-October-2020,51.65,51.80,50.20,50.90,50.818897637795275590,1016,48,51632.00,472,46.46,1.60,-0.75
15-October-2020,51.85,54.05,50.10,50.75,51.586697551290536068,3022,95,155895.00,1735,57.41,3.95,-1.10
14-October-2020,51.40,52.20,50.85,51.25,51.231570512820512820,1248,71,63937.00,977,78.29,1.35,-0.15
13-October-2020,50.20,53.00,50.20,51.70,51.723973256924546322,1047,65,54155.00,639,61.03,2.80,1.50
12-October-2020,52.15,53.85,51.70,52.00,52.451083772700644405,3414,108,179068.00,2174,63.68,2.15,-0.15
9-October-2020,53.45,53.45,52.40,52.75,52.694485842026825633,4697,108,247506.00,4364,92.91,1.05,-0.70
8-October-2020,53.80,53.80,52.80,53.00,53.378042596348884381,3944,100,210523.00,3177,80.55,1.00,-0.80
7-October-2020,55.70,55.70,52.40,53.45,53.799379123011253395,5154,138,277282.00,2097,40.69,3.30,-2.25
6-October-2020,54.90,54.90,51.80,52.25,53.207217224300010108,9893,166,526379.00,6301,63.69,3.10,-2.65
5-October-2020,50.00,52.50,50.00,52.15,51.696969696969696969,2838,96,146716.00,1509,53.17,2.50,2.15
1-October-2020,52.85,53.00,51.60,51.85,52.415602507545855583,4307,134,225754.00,2953,68.56,1.40,-1.00
30-September-2020,52.50,52.75,51.50,51.80,51.838679827267119062,3242,92,168061.00,2270,70.02,1.25,-0.70
29-September-2020,55.00,55.00,51.95,52.45,53.186962043177649216,7087,197,376936.00,5282,74.53,3.05,-2.55
28-September-2020,53.60,54.15,52.30,53.50,53.678288431061806656,2524,121,135484.00,1668,66.09,1.85,-0.10
25-September-2020,49.45,50.45,49.30,50.30,49.973917579551382368,1917,61,95800.00,1318,68.75,1.15,0.85
24-September-2020,50.00,50.00,48.00,48.30,48.618047939840200532,12766,195,620658.00,10968,85.92,2.00,-1.70
23-September-2020,53.00,53.00,50.00,50.75,51.016757023164120256,2029,70,103513.00,1142,56.28,3.00,-2.25
22-September-2020,53.00,53.00,49.20,50.70,50.604756047560475604,4878,96,246850.00,2721,55.78,3.80,-2.30
21-September-2020,55.00,55.80,51.30,52.10,53.517124016166773027,4701,145,251584.00,2195,46.69,4.50,-2.90
18-September-2020,56.05,56.85,53.95,54.25,55.390640557583803518,6026,180,333784.00,3307,54.88,2.90,-1.80
17-September-2020,56.60,56.70,55.30,56.00,56.036825849370396768,4209,165,235859.00,2349,55.81,1.40,-0.60
16-September-2020,56.45,57.45,56.45,56.70,56.845306208942572578,4719,110,268253.00,3535,74.91,1.00,0.25
15-September-2020,56.00,57.90,56.00,56.60,56.952231708635037285,9253,124,526979.00,8381,90.58,1.90,0.60
14-September-2020,56.05,57.40,55.50,56.30,56.769030867718831209,15777,129,895645.00,11008,69.77,1.90,0.25
11-September-2020,54.25,54.60,53.30,54.20,54.042930471301913205,2143,120,115814.00,1478,68.97,1.30,-0.05
10-September-2020,55.00,55.00,53.90,54.50,54.436800000000000000,625,57,34023.00,358,57.28,1.10,-0.50
9-September-2020,52.25,53.90,50.80,53.55,52.386720502467474203,13374,314,700620.00,7226,54.03,3.10,1.30
8-September-2020,56.50,57.85,53.60,54.60,55.738485694347522679,5732,143,319493.00,3945,68.82,4.25,-1.90
7-September-2020,54.25,58.30,54.25,56.30,56.603042876901798063,8676,272,491088.00,5095,58.73,4.05,2.05
4-September-2020,54.50,58.00,54.50,56.90,56.575937861510494133,12102,246,684682.00,6972,57.61,3.50,2.40
3-September-2020,57.30,57.90,56.50,57.00,56.925230671333121221,6286,152,357832.00,4268,67.90,1.40,-0.30
2-September-2020,54.65,57.85,54.30,56.25,56.456920903954802259,4248,125,239829.00,2852,67.14,3.55,1.60
1-September-2020,57.45,57.45,54.00,54.70,55.010752688172043010,8649,142,475788.00,6115,70.70,3.45,-2.75
31-August-2020,60.65,61.05,56.05,56.45,57.975537808475429887,13899,235,805802.00,8397,60.41,5.00,-4.20
28-August-2020,61.05,62.80,60.50,60.70,61.541283973758200562,21340,219,1313291.00,10857,50.88,2.30,-0.35
27-August-2020,63.70,63.75,60.90,61.45,62.041776018586241018,46486,530,2884074.00,28716,61.77,2.85,-2.25
26-August-2020,64.50,65.00,62.50,63.55,63.885196006817628439,24642,267,1574259.00,15262,61.93,2.50,-0.95
25-August-2020,66.60,68.00,63.00,63.60,64.344596269869693379,72598,571,4671289.00,49185,67.75,5.00,-3.00
24-August-2020,60.40,68.45,59.50,65.95,66.027265727614475293,110395,1137,7289080.00,62110,56.26,8.95,5.55
21-August-2020,63.90,64.50,60.00,60.30,61.529992826002979967,36242,336,2229970.00,19880,54.85,4.50,-3.60
20-August-2020,62.80,63.60,61.35,62.80,62.532140200411324552,22853,543,1429047.00,12222,53.48,2.25,0.00
