Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2020,1584.00,1588.35,1570.00,1580.65,1577.200146112562870549,35589,958,56130976.00,2103,5.91,18.35,-3.35
29-December-2020,1608.35,1615.90,1576.90,1583.90,1590.989773267797685111,12614,1108,20068745.00,3789,30.04,39.00,-24.45
28-December-2020,1572.00,1616.00,1571.00,1608.35,1601.591458913055823726,52827,3867,84607272.00,18682,35.36,45.00,36.35
24-December-2020,1583.00,1590.70,1557.15,1568.45,1576.168581463182332281,16799,1400,26478056.00,4534,26.99,33.55,-14.55
23-December-2020,1534.85,1587.65,1522.15,1582.45,1566.641081363004172461,34512,2359,54067917.00,10802,31.30,65.50,47.60
22-December-2020,1503.00,1525.15,1461.90,1521.90,1497.937741586352625882,19403,1608,29064486.00,4849,24.99,63.25,18.90
21-December-2020,1586.80,1586.80,1467.50,1503.05,1540.041953143242612147,38543,3312,59357837.00,7582,19.67,119.30,-83.75
18-December-2020,1592.00,1600.00,1576.95,1583.20,1585.992402337742233159,32510,2788,51560613.00,9844,30.28,23.05,-8.80
17-December-2020,1600.00,1620.90,1582.45,1588.70,1601.803992029009179706,30611,2718,49032822.00,10824,35.36,38.45,-11.30
16-December-2020,1595.00,1623.25,1593.35,1610.50,1610.569453748249193106,32842,2983,52894322.00,10744,32.71,29.90,15.50
15-December-2020,1634.90,1645.00,1592.20,1606.90,1615.312831082424834119,55311,3235,89344568.00,8116,14.67,52.80,-28.00
14-December-2020,1570.00,1635.45,1552.15,1626.80,1606.604920862252579780,136155,5697,218747293.00,21137,15.52,83.30,56.80
11-December-2020,1559.00,1570.90,1543.85,1559.15,1559.056181246726034573,22908,2218,35714859.00,9061,39.55,27.05,0.15
10-December-2020,1568.00,1571.00,1546.60,1556.75,1557.022085530169888693,17070,1361,26578367.00,3120,18.28,24.40,-11.25
9-December-2020,1563.45,1579.85,1560.00,1567.30,1569.291829007298468967,18223,1459,28597205.00,4965,27.25,19.85,3.85
8-December-2020,1571.30,1578.40,1545.35,1563.45,1557.823192737115146047,35468,3327,55252873.00,13339,37.61,33.05,-7.85
7-December-2020,1577.00,1586.70,1553.35,1565.65,1568.133829889476213358,24972,2035,39159438.00,4159,16.65,33.35,-11.35
4-December-2020,1575.50,1575.50,1543.45,1563.50,1557.136995725025797258,20351,1774,31689295.00,5842,28.71,32.05,-12.00
3-December-2020,1550.00,1556.95,1532.80,1539.05,1543.438204423099267980,25819,1763,39850031.00,6186,23.96,24.15,-10.95
2-December-2020,1563.95,1568.00,1524.50,1542.40,1547.216737101193516927,64599,4110,99948654.00,7124,11.03,43.50,-21.55
1-December-2020,1593.00,1593.00,1532.95,1542.75,1544.520198440822111977,39508,3035,61020904.00,9205,23.30,60.05,-50.25
27-November-2020,1537.05,1582.30,1536.00,1571.80,1558.106003288867258072,135609,8464,211293197.00,34408,25.37,46.30,34.75
26-November-2020,1484.00,1530.95,1471.00,1526.30,1509.252275682704811443,27684,2430,41782140.00,9365,33.83,59.95,42.30
25-November-2020,1496.00,1512.80,1469.45,1483.20,1494.061536146844203716,39879,5072,59581680.00,17856,44.78,43.35,-12.80
24-November-2020,1510.00,1533.40,1494.85,1504.80,1515.691820046346855605,37543,2623,56903618.00,7462,19.88,38.55,-5.20
23-November-2020,1490.00,1507.80,1461.00,1504.00,1486.940175432832878872,30439,3028,45260972.00,7149,23.49,46.80,14.00
20-November-2020,1507.00,1514.35,1453.20,1476.30,1475.590522013696195956,73159,7289,107952727.00,23069,31.53,61.15,-30.70
19-November-2020,1443.00,1504.80,1433.95,1499.55,1479.742911162857790508,194108,15559,287229937.00,66563,34.29,70.85,56.55
18-November-2020,1386.95,1447.00,1375.00,1431.45,1405.051035298029147195,54139,3589,76068058.00,14073,25.99,72.00,44.50
17-November-2020,1370.00,1379.00,1348.30,1376.30,1367.559087094241546416,36937,3862,50513530.00,16050,43.45,30.70,6.30
14-November-2020,1366.00,1367.45,1351.10,1355.50,1357.362896435587987650,10689,1207,14508852.00,4534,42.42,16.35,-10.50
13-November-2020,1339.35,1356.70,1332.30,1354.40,1346.970821823204419889,11584,931,15603310.00,2922,25.22,24.40,15.05
12-November-2020,1328.00,1352.95,1328.00,1338.85,1344.411040508339952343,55396,4109,74474994.00,16663,30.08,24.95,10.85
11-November-2020,1335.00,1363.90,1309.00,1327.40,1330.553099123723772007,62195,6111,82753750.00,12504,20.10,54.90,-7.60
10-November-2020,1368.85,1387.55,1354.80,1364.75,1372.055755850001148184,43547,3713,59748912.00,15695,36.04,32.75,-4.10
9-November-2020,1359.00,1361.00,1336.00,1356.35,1349.171647086651423164,12683,1461,17111544.00,3786,29.85,25.00,-2.65
6-November-2020,1340.00,1360.00,1335.10,1339.15,1348.054457394865333123,25396,2137,34235191.00,4651,18.31,24.90,-0.85
5-November-2020,1315.00,1337.75,1314.45,1334.60,1327.212319644839067702,27030,2808,35874549.00,14771,54.65,23.30,19.60
4-November-2020,1300.00,1317.30,1295.00,1314.80,1305.901029393525982884,24189,2256,31588440.00,8056,33.30,22.30,14.80
3-November-2020,1318.50,1318.50,1295.00,1298.15,1305.285032715376226826,14672,1295,19151142.00,4663,31.78,23.50,-20.35
2-November-2020,1315.00,1320.70,1302.65,1308.20,1311.951845906902086677,16821,2070,22068342.00,7044,41.88,18.05,-6.80
30-October-2020,1305.00,1321.30,1288.70,1312.90,1306.039143073308644924,25113,2485,32798561.00,5803,23.11,32.60,7.90
29-October-2020,1310.10,1319.80,1292.80,1303.50,1305.150036818851251840,16296,1837,21268725.00,5189,31.84,27.00,-6.60
28-October-2020,1333.00,1352.40,1320.25,1324.35,1338.460749028970530591,28063,2738,37561224.00,8121,28.94,32.15,-8.65
27-October-2020,1352.00,1352.00,1296.25,1325.85,1316.446702110859609412,18997,1501,25008538.00,3633,19.12,55.75,-26.15
26-October-2020,1363.75,1363.75,1318.00,1321.95,1333.414752957550452331,15807,1579,21077287.00,6212,39.30,45.75,-41.80
23-October-2020,1365.00,1380.85,1346.35,1349.30,1360.777826836550187124,47562,1266,64721315.00,36893,77.57,34.50,-15.70
22-October-2020,1360.00,1371.50,1353.85,1363.85,1363.020230515031836866,12407,866,16910992.00,2476,19.96,17.65,3.85
21-October-2020,1365.00,1380.00,1346.40,1360.40,1368.097080456971952216,57509,3602,78677895.00,35709,62.09,33.60,-4.60
20-October-2020,1390.05,1416.50,1360.80,1366.60,1389.234002915036547544,91251,6245,126768992.00,15584,17.08,55.70,-23.45
