Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2020,980.00,991.60,944.40,976.25,980.710983137921034097,24137,1130,23671421.00,2284,9.46,47.20,-3.75
29-December-2020,996.95,996.95,970.45,976.95,976.109584859584859584,9828,539,9593205.00,1236,12.58,26.50,-20.00
28-December-2020,995.00,998.05,974.20,978.20,988.403831878115168440,28289,1565,27960956.00,5764,20.38,23.85,-16.80
24-December-2020,961.00,1024.70,961.00,984.55,989.848270995059985885,19838,1599,19636610.00,7826,39.45,63.70,23.55
23-December-2020,938.95,957.65,930.30,947.65,942.898402555910543130,4695,483,4426908.00,2134,45.45,27.35,8.70
22-December-2020,921.10,958.95,902.00,921.70,922.066598441313075651,12703,1589,11713012.00,6357,50.04,56.95,0.60
21-December-2020,991.00,999.20,921.15,932.15,964.105642420122365737,7355,897,7090997.00,3956,53.79,78.05,-58.85
18-December-2020,1000.00,1004.70,985.00,990.25,993.520182916502004177,17713,1204,17598223.00,4977,28.10,19.70,-9.75
17-December-2020,995.00,1019.95,995.00,999.95,1010.754949170679507758,14952,832,15112808.00,2986,19.97,24.95,4.95
16-December-2020,1005.00,1019.60,996.00,998.90,1003.452976037103839216,23286,1035,23366406.00,4816,20.68,23.60,-6.10
15-December-2020,1015.00,1018.00,992.95,997.70,1006.483040622067301246,14918,677,15014714.00,4410,29.56,25.05,-17.30
14-December-2020,1028.90,1034.00,1005.10,1008.35,1018.010145798887719825,13306,1074,13545643.00,5074,38.13,28.90,-20.55
11-December-2020,1018.05,1056.20,1004.50,1018.55,1033.018714440212535853,21267,2192,21969209.00,11698,55.01,51.70,0.50
10-December-2020,1026.25,1034.35,993.95,1019.25,1016.154367178428589859,15502,1039,15752425.00,4325,27.90,40.40,-7.00
9-December-2020,955.00,1040.00,945.00,1016.25,1012.886918691397967677,63671,4552,64491523.00,16981,26.67,95.00,61.25
8-December-2020,943.75,955.20,925.10,943.70,941.436997741478018803,19039,1670,17924019.00,8612,45.23,30.10,-0.05
7-December-2020,908.95,944.00,908.95,930.25,933.802688475277307764,21276,2110,19867586.00,13088,61.52,35.05,21.30
4-December-2020,907.00,913.55,900.15,905.60,905.850810810810810810,14800,916,13406592.00,3861,26.09,13.40,-1.40
3-December-2020,920.00,920.00,905.25,908.35,910.400564322290730483,9569,888,8711623.00,4194,43.83,14.75,-11.65
2-December-2020,908.00,920.35,900.30,902.90,906.007294516087013156,7677,797,6955418.00,3089,40.24,20.05,-5.10
1-December-2020,929.00,929.00,898.45,901.80,903.539079946404644930,4478,322,4046048.00,3168,70.75,30.55,-27.20
27-November-2020,915.30,919.70,900.50,906.55,909.532923617208077260,3417,685,3107874.00,2257,66.05,19.20,-8.75
26-November-2020,911.75,917.45,906.25,915.05,910.267257026566195478,18181,661,16549569.00,1479,8.13,11.20,3.30
25-November-2020,936.00,946.30,904.40,906.50,928.401407905933317861,12927,989,12001445.00,3469,26.84,41.90,-29.50
24-November-2020,935.00,964.00,921.00,936.50,946.017830808419359163,14918,1577,14112694.00,5985,40.12,43.00,1.50
23-November-2020,924.00,938.30,922.50,925.55,930.100700053850296176,3714,644,3454394.00,2447,65.89,15.80,1.55
20-November-2020,910.00,947.00,910.00,928.15,933.785507246376811594,12075,1200,11275460.00,4920,40.75,37.00,18.15
19-November-2020,883.50,925.00,883.50,908.35,905.457535387177352206,7206,736,6524727.00,2689,37.32,41.50,24.85
18-November-2020,882.90,885.85,875.00,883.70,879.928703459202534988,3787,219,3332290.00,1351,35.67,10.85,0.80
17-November-2020,876.05,878.65,863.20,874.35,872.715521694214876033,23232,1023,20274927.00,2865,12.33,15.45,-1.70
14-November-2020,932.00,932.00,863.00,876.05,873.783018867924528301,848,109,740968.00,509,60.02,69.00,-55.95
13-November-2020,882.00,887.00,846.55,852.30,861.181833645177751318,5879,403,5062888.00,3930,66.85,40.45,-29.70
12-November-2020,883.75,891.40,877.35,878.80,887.114828496042216358,9475,548,8405413.00,897,9.47,14.05,-4.95
11-November-2020,886.00,899.95,880.00,883.70,889.249259512417407154,4389,686,3902915.00,1723,39.26,19.95,-2.30
10-November-2020,868.00,912.30,868.00,895.60,892.684432248589317461,25874,1561,23097317.00,3084,11.92,44.30,27.60
9-November-2020,882.50,887.20,865.80,883.25,878.862263618402483770,3543,612,3113809.00,1442,40.70,21.40,0.75
6-November-2020,870.00,887.50,870.00,882.30,881.543797348484848484,4224,354,3723641.00,415,9.82,17.50,12.30
5-November-2020,864.00,879.50,864.00,874.50,875.295319905213270142,6752,545,5909994.00,945,14.00,15.50,10.50
4-November-2020,873.10,879.35,861.05,864.60,867.058770069675855801,19806,963,17172966.00,1228,6.20,18.30,-8.50
3-November-2020,882.00,896.00,871.00,873.10,883.835184362505553087,6753,561,5968539.00,1009,14.94,25.00,-8.90
2-November-2020,891.00,901.20,877.25,882.00,890.261689373297002724,9175,336,8168151.00,409,4.46,23.95,-9.00
30-October-2020,889.00,916.00,888.30,895.55,902.131710065840204045,33718,1634,30418077.00,1750,5.19,27.70,6.55
29-October-2020,888.85,904.00,888.85,896.85,900.506005221932114882,1915,252,1724469.00,357,18.64,15.15,8.00
28-October-2020,907.75,910.75,894.95,899.10,900.949660060755099088,6913,339,6228265.00,678,9.81,15.80,-8.65
27-October-2020,894.25,915.25,885.30,907.10,902.346423562412342215,1426,245,1286746.00,629,44.11,29.95,12.85
26-October-2020,900.35,913.50,887.45,890.55,899.591150229081263564,8294,607,7461209.00,2294,27.66,26.05,-9.80
23-October-2020,906.00,906.00,886.20,895.80,895.164144353899883585,3436,593,3075784.00,1700,49.48,19.80,-10.20
22-October-2020,863.80,909.35,862.85,900.60,885.071819746518541699,6391,973,5656494.00,3511,54.94,46.50,36.80
21-October-2020,864.30,865.35,855.50,860.25,861.192771084337349397,1162,225,1000706.00,614,52.84,9.85,-4.05
20-October-2020,898.00,898.00,853.00,857.65,860.187124463519313304,1165,292,1002118.00,492,42.23,45.00,-40.35
19-October-2020,864.80,868.20,847.35,849.90,857.322315705128205128,4992,740,4279753.00,2062,41.31,20.85,-14.90
16-October-2020,872.80,878.60,858.40,859.85,870.210193930587380539,17893,863,15570671.00,2611,14.59,20.20,-12.95
15-October-2020,888.45,897.10,861.20,867.80,889.122589307510782000,24578,1317,21852855.00,2672,10.87,35.90,-20.65
14-October-2020,878.80,901.55,874.00,886.60,885.123613631780600927,4959,535,4389328.00,2182,44.00,27.55,7.80
13-October-2020,872.50,894.00,872.50,876.35,883.776352861167783930,10293,737,9096710.00,1900,18.46,21.50,3.85
12-October-2020,899.95,920.00,879.00,884.75,897.535146133925268220,10812,1297,9704150.00,2445,22.61,41.00,-15.20
9-October-2020,915.00,915.00,898.20,899.95,904.286314806165343297,2141,237,1936077.00,1609,75.15,16.80,-15.05
8-October-2020,909.40,913.60,901.60,903.30,907.355937893411665967,11915,834,10811146.00,3609,30.29,12.00,-6.10
7-October-2020,916.45,921.05,902.45,907.40,913.593947568068785298,11863,649,10837965.00,2439,20.56,18.60,-9.05
