Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2020,1.75,1.75,1.58,1.75,1.604576475311120032,2491,8,3997.00,2491,100.00,0.17,0.00
29-December-2020,1.85,1.85,1.75,1.75,1.765584750128799587,3882,12,6854.00,3882,100.00,0.10,-0.10
28-December-2020,1.94,1.95,1.94,1.94,1.946534653465346534,1515,8,2949.00,1515,100.00,0.01,0.00
24-December-2020,1.94,1.94,1.94,1.94,1.928571428571428571,70,1,135.00,70,100.00,0.00,0.00
23-December-2020,1.78,1.94,1.61,1.94,1.710795742524075012,9865,19,16877.00,9865,100.00,0.33,0.16
22-December-2020,1.46,1.78,1.46,1.78,1.502822144830070853,8327,13,12514.00,8287,99.52,0.32,0.32
21-December-2020,1.78,1.78,1.46,1.62,1.751908396946564885,1310,7,2295.00,1310,100.00,0.32,-0.16
18-December-2020,1.46,1.62,1.46,1.62,1.500628614533568016,3977,9,5968.00,3977,100.00,0.16,0.16
17-December-2020,1.62,1.62,1.62,1.62,1.619981541301338255,8668,12,14042.00,8168,94.23,0.00,0.00
16-December-2020,1.79,1.79,1.79,1.79,1.787790697674418604,344,5,615.00,344,100.00,0.00,0.00
15-December-2020,1.39,1.79,1.39,1.79,1.553454545454545454,4125,10,6408.00,3250,78.79,0.40,0.40
14-December-2020,1.79,1.79,1.45,1.72,1.546071149998304337,58974,16,91178.00,58974,100.00,0.34,-0.07
11-December-2020,1.70,1.79,1.70,1.79,1.725069078121075106,7962,16,13735.00,6962,87.44,0.09,0.09
10-December-2020,1.44,1.72,1.44,1.70,1.618932689729149906,3729,13,6037.00,3529,94.64,0.28,0.26
9-December-2020,1.05,1.44,1.05,1.44,1.394357583492873856,37608,17,52439.00,37608,100.00,0.39,0.39
8-December-2020,1.40,1.40,1.14,1.20,1.360783388390750353,4238,11,5767.00,4238,100.00,0.26,-0.20
7-December-2020,1.35,1.40,1.13,1.40,1.390553885787891799,11645,12,16193.00,11335,97.34,0.27,0.05
4-December-2020,1.44,1.44,1.18,1.35,1.318418731456980194,12471,17,16442.00,11471,91.98,0.26,-0.09
3-December-2020,1.32,1.33,1.31,1.31,1.317685866531337224,7882,20,10386.00,7882,100.00,0.02,-0.01
2-December-2020,1.10,1.21,1.10,1.21,1.209208604100549090,39702,11,48008.00,39702,100.00,0.11,0.11
1-December-2020,1.10,1.10,1.08,1.10,1.098628818859754630,4157,13,4567.00,4157,100.00,0.02,0.00
27-November-2020,1.10,1.17,1.10,1.10,1.145276872964169381,1535,8,1758.00,1535,100.00,0.07,0.00
26-November-2020,1.11,1.11,1.10,1.10,1.101630434782608695,3680,4,4054.00,3000,81.52,0.01,-0.01
25-November-2020,1.11,1.18,1.01,1.10,1.029114283013517345,10579,8,10887.00,10079,95.27,0.17,-0.01
24-November-2020,1.11,1.11,1.01,1.11,1.095714285714285714,2100,7,2301.00,2100,100.00,0.10,0.00
23-November-2020,1.21,1.21,1.11,1.11,1.209804658151765589,53240,12,64410.00,53239,100.00,0.10,-0.10
20-November-2020,0.90,1.10,0.90,1.10,1.079305650102110279,2938,6,3171.00,2638,89.79,0.20,0.20
18-November-2020,1.11,1.11,1.00,1.00,1.015428571428571428,3500,7,3554.00,3500,100.00,0.11,-0.11
17-November-2020,1.01,1.01,1.01,1.01,1.009945945945945945,9250,5,9342.00,9250,100.00,0.00,0.00
14-November-2020,0.92,0.92,0.92,0.92,0.900000000000000000,30,1,27.00,30,100.00,0.00,0.00
13-November-2020,1.12,1.12,1.01,1.01,1.000000000000000000,41,3,41.00,41,100.00,0.11,-0.11
12-November-2020,1.00,1.12,1.00,1.12,1.116129032258064516,3100,5,3460.00,3100,100.00,0.12,0.12
11-November-2020,1.03,1.03,1.03,1.03,1.029929767693138843,9255,13,9532.00,9255,100.00,0.00,0.00
10-November-2020,0.90,0.94,0.90,0.94,0.930000000000000000,400,3,372.00,400,100.00,0.04,0.04
9-November-2020,1.02,1.02,1.00,1.00,1.008618734406894987,4409,13,4447.00,4409,100.00,0.02,-0.02
6-November-2020,1.01,1.02,1.01,1.02,1.019757267852102737,3543,15,3613.00,3543,100.00,0.01,0.01
5-November-2020,0.97,1.00,0.97,1.00,0.999076212471131639,4330,9,4326.00,4330,100.00,0.03,0.03
4-November-2020,1.03,1.12,0.94,0.96,1.033126293995859213,966,9,998.00,669,69.25,0.18,-0.07
3-November-2020,1.03,1.03,1.03,1.03,1.030000000000000000,100,2,103.00,100,100.00,0.00,0.00
2-November-2020,1.25,1.25,1.03,1.03,1.048406244435211016,33694,25,35325.00,33694,100.00,0.22,-0.22
30-October-2020,1.14,1.14,1.14,1.14,1.139204545454545454,704,3,802.00,704,100.00,0.00,0.00
29-October-2020,1.03,1.04,1.03,1.04,1.033939393939393939,825,4,853.00,825,100.00,0.01,0.01
28-October-2020,0.95,0.95,0.87,0.95,0.941269284712482468,5704,13,5369.00,5196,91.09,0.08,0.00
27-October-2020,0.95,1.00,0.95,0.95,0.949933422103861517,7510,16,7134.00,7510,100.00,0.05,0.00
26-October-2020,1.05,1.05,1.00,1.05,1.008882309400444115,1351,10,1363.00,1351,100.00,0.05,0.00
23-October-2020,1.04,1.23,1.04,1.05,1.049479166666666666,2304,13,2418.00,2204,95.66,0.19,0.01
22-October-2020,0.95,1.14,0.95,1.14,1.025531914893617021,1410,8,1446.00,1400,99.29,0.19,0.19
21-October-2020,1.05,1.05,1.05,1.05,1.049925261584454409,6690,7,7024.00,4190,62.63,0.00,0.00
20-October-2020,0.99,1.09,0.99,1.09,1.071197411003236245,618,4,662.00,618,100.00,0.10,0.10
19-October-2020,1.01,1.10,0.99,1.09,1.014234875444839857,5620,13,5700.00,5008,89.11,0.11,0.08
16-October-2020,0.90,1.10,0.90,1.10,1.099519386293266786,43278,10,47585.00,43278,100.00,0.20,0.20
15-October-2020,0.99,1.10,0.99,1.00,0.996436525612472160,4490,12,4474.00,4300,95.77,0.11,0.01
14-October-2020,1.04,1.10,1.04,1.10,1.086153846153846153,650,5,706.00,650,100.00,0.06,0.06
13-October-2020,1.13,1.25,1.13,1.13,1.129905452661572335,7721,7,8724.00,7721,100.00,0.12,0.00
12-October-2020,1.13,1.25,1.13,1.25,1.172727272727272727,550,3,645.00,550,100.00,0.12,0.12
