Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2020,146.70,148.50,143.05,147.75,146.160793539155530764,41233,1252,6026648.00,31852,77.25,5.45,1.05
29-December-2020,146.60,148.50,143.45,144.05,145.895019196489784725,58344,1381,8512099.00,35248,60.41,5.05,-2.55
28-December-2020,136.90,149.50,133.25,145.65,143.077539213165338133,77780,1679,11128571.00,45562,58.58,16.25,8.75
24-December-2020,137.95,138.75,134.20,135.20,136.057773334285510247,14003,431,1905217.00,7301,52.14,4.55,-2.75
23-December-2020,129.10,138.35,126.20,136.40,133.776455600914907785,34539,664,4620505.00,19294,55.86,12.15,7.30
22-December-2020,125.00,131.95,122.60,130.10,127.573168518115152835,55092,1253,7028261.00,27224,49.42,9.35,5.10
21-December-2020,136.50,139.70,120.20,124.85,129.438239249846022348,79557,1665,10297718.00,39799,50.03,19.50,-11.65
18-December-2020,141.50,142.00,134.65,136.30,136.889378030280496148,33619,979,4602084.00,17883,53.19,7.35,-5.20
17-December-2020,143.85,147.00,138.05,140.80,144.384266263237518910,25118,680,3626644.00,7861,31.30,8.95,-3.05
16-December-2020,145.65,147.05,141.95,143.00,144.286396116293023509,36666,897,5290405.00,22207,60.57,5.10,-2.65
15-December-2020,147.90,147.90,141.45,145.65,144.283664888166495883,56602,994,8166744.00,21658,38.26,6.45,-2.25
14-December-2020,144.00,148.50,143.15,146.85,146.602047904499729861,77738,1997,11396550.00,40000,51.45,5.35,2.85
11-December-2020,137.50,144.25,136.80,142.60,140.873013909505745230,72756,1808,10249357.00,41840,57.51,7.45,5.10
10-December-2020,138.40,139.50,135.30,136.35,137.320227010127098484,58852,1187,8081570.00,40874,69.45,4.20,-2.05
9-December-2020,128.00,139.00,128.00,138.30,136.116438881083152382,78290,2475,10656556.00,39125,49.97,11.00,10.30
8-December-2020,132.15,134.75,127.55,127.90,130.484229360852197070,48064,948,6271594.00,27960,58.17,7.20,-4.25
7-December-2020,134.00,135.35,130.00,132.55,133.473587608559405497,22338,507,2981533.00,12953,57.99,5.35,-1.45
4-December-2020,135.10,140.30,132.00,133.60,135.751581516328955396,31141,689,4227440.00,19047,61.16,8.30,-1.50
3-December-2020,134.55,137.75,134.45,134.65,135.916424116424116424,21645,500,2941911.00,14150,65.37,3.30,0.10
2-December-2020,133.00,135.55,132.50,134.05,134.158732246186217780,30416,914,4080572.00,19097,62.79,3.05,1.05
1-December-2020,125.55,132.40,125.55,130.45,130.022280630812778002,24730,694,3215451.00,16056,64.93,6.85,4.90
27-November-2020,129.00,131.55,128.20,128.85,129.945662256505394717,20483,517,2661677.00,10733,52.40,3.35,-0.15
26-November-2020,124.15,131.65,124.15,128.90,128.565291061073876044,53116,853,6828874.00,30224,56.90,7.50,4.75
25-November-2020,132.90,132.90,124.50,125.10,126.888944251739138766,52181,1142,6621192.00,36402,69.76,8.40,-7.80
24-November-2020,122.30,134.50,121.10,131.25,129.261029284352798475,144275,3902,18649135.00,70680,48.99,13.40,8.95
23-November-2020,117.70,122.40,117.70,120.45,120.701427749594686470,38242,874,4615864.00,19946,52.16,4.70,2.75
20-November-2020,122.00,122.00,116.00,118.75,118.614763477772740030,46317,1103,5493880.00,25966,56.06,6.00,-3.25
19-November-2020,113.10,124.75,107.50,118.10,119.295094241550437483,161606,3696,19278803.00,69289,42.88,17.25,5.00
18-November-2020,110.10,115.40,110.10,114.20,113.755833786291305081,53353,1543,6069215.00,34552,64.76,5.30,4.10
17-November-2020,114.10,117.00,110.90,112.70,114.070435414033294785,74366,1661,8482962.00,43953,59.10,6.10,-1.40
14-November-2020,110.00,114.90,109.40,113.25,112.365558713832706241,60863,1804,6838905.00,27681,45.48,5.50,3.25
13-November-2020,94.00,110.00,93.75,106.75,104.629630505636314611,211397,5323,22118390.00,84214,39.84,16.25,12.75
12-November-2020,91.50,94.65,91.50,93.55,93.631578947368421052,5472,188,512352.00,4055,74.10,3.15,2.05
11-November-2020,92.70,93.55,92.10,92.45,92.735355648535564853,4780,167,443275.00,2533,52.99,1.45,-0.25
10-November-2020,92.80,93.30,91.50,92.05,92.093940874664060591,8186,313,753881.00,5660,69.14,1.80,-0.75
9-November-2020,93.00,94.00,91.35,92.95,92.938016881234546849,11729,346,1090070.00,8538,72.79,2.65,-0.05
6-November-2020,91.70,92.50,91.20,91.55,91.671386430678466076,6780,154,621532.00,5034,74.25,1.30,-0.15
5-November-2020,90.75,92.60,90.75,91.35,91.645321100917431192,5450,93,499467.00,4301,78.92,1.85,0.60
4-November-2020,89.90,90.80,89.65,90.10,90.192689295039164490,3830,93,345438.00,2328,60.78,1.15,0.20
3-November-2020,90.00,91.45,88.50,89.00,89.563076581082583083,8997,429,805799.00,5811,64.59,2.95,-1.00
2-November-2020,91.20,91.20,89.05,89.55,90.303993480032599837,4908,134,443212.00,3704,75.47,2.15,-1.65
30-October-2020,91.65,92.20,89.55,89.90,90.291638074698558964,10201,208,921065.00,3657,35.85,2.65,-1.75
29-October-2020,90.75,92.35,90.00,90.70,90.497146118721461187,8760,276,792755.00,4733,54.03,2.35,-0.05
28-October-2020,93.50,94.65,91.25,91.70,92.725318643335493627,9258,331,858451.00,6990,75.50,3.40,-1.80
27-October-2020,94.00,96.00,93.75,94.15,94.654087630243120491,14972,562,1417161.00,8679,57.97,2.25,0.15
26-October-2020,93.60,97.50,93.00,95.60,96.189013767479148358,64863,1736,6239108.00,35634,54.94,4.50,2.00
23-October-2020,90.10,94.50,90.10,93.15,92.481127642913077525,25540,797,2361968.00,13968,54.69,4.40,3.05
22-October-2020,88.90,90.50,88.00,90.25,89.253034547152194211,3213,164,286770.00,1721,53.56,2.50,1.35
21-October-2020,90.40,90.60,88.10,88.85,88.885590317424069422,4379,153,389230.00,3100,70.79,2.50,-1.55
20-October-2020,89.40,89.90,89.05,89.50,89.540863177226813590,2178,92,195020.00,1435,65.89,0.85,0.10
19-October-2020,90.60,90.90,89.40,89.75,90.306921390541810209,3193,146,288350.00,2101,65.80,1.50,-0.85
16-October-2020,89.10,90.15,88.20,89.95,89.426953032806230823,4237,142,378902.00,3110,73.40,1.95,0.85
15-October-2020,90.90,90.95,88.05,88.85,89.814981792959944511,5767,192,517963.00,3786,65.65,2.90,-2.05
14-October-2020,90.25,91.35,89.45,89.60,90.134295415959252971,5890,171,530891.00,2896,49.17,1.90,-0.65
13-October-2020,90.80,90.80,90.00,90.10,90.264812575574365175,4962,138,447894.00,3905,78.70,0.80,-0.70
12-October-2020,92.10,92.10,90.05,90.15,90.958490566037735849,2385,87,216936.00,1808,75.81,2.05,-1.95
