Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2020,980.00,988.05,959.00,965.70,972.923168834682237301,44357,2303,43155953.00,14147,31.89,29.05,-14.30
29-December-2020,973.00,1014.40,956.05,994.00,993.234664545657512837,143328,6102,142358338.00,31077,21.68,58.35,21.00
28-December-2020,991.10,1006.00,968.15,976.60,984.408910644276746663,44127,2098,43439012.00,7748,17.56,37.85,-14.50
24-December-2020,998.00,1053.60,975.15,984.00,1012.707188634518852952,247627,15209,250773643.00,51399,20.76,78.45,-14.00
23-December-2020,896.00,927.00,861.20,918.60,903.283787133826385158,48406,6356,43724355.00,20796,42.96,65.80,22.60
22-December-2020,849.00,898.00,837.70,872.05,867.038716417910447761,100500,5019,87137391.00,25280,25.15,60.30,23.05
21-December-2020,917.35,938.00,830.05,849.35,884.491568555758683729,68375,3411,60477111.00,13492,19.73,107.95,-68.00
18-December-2020,901.80,945.30,885.60,917.35,913.432332571754962159,168072,6885,153522399.00,20466,12.18,59.70,15.55
17-December-2020,808.00,903.00,792.50,880.85,858.929564683406113537,146560,7381,125884717.00,29517,20.14,110.50,72.85
16-December-2020,782.00,811.00,772.50,799.70,795.375709720455462132,64462,2960,51271509.00,17303,26.84,38.50,17.70
15-December-2020,789.80,789.80,770.00,774.60,776.305187523362545167,24077,976,18691100.00,6220,25.83,19.80,-15.20
14-December-2020,780.00,786.65,771.50,782.20,780.506605789780454633,20588,905,16069070.00,7557,36.71,15.15,2.20
11-December-2020,753.00,795.60,751.65,771.15,774.181661773231350401,106946,5430,82795632.00,41842,39.12,43.95,18.15
10-December-2020,750.35,759.55,736.05,747.35,743.874172185430463576,11778,558,8761350.00,3643,30.93,23.50,-3.00
9-December-2020,745.90,766.50,738.40,748.90,753.670624178204037435,51716,2159,38976830.00,9857,19.06,28.10,3.00
8-December-2020,741.25,748.00,717.00,732.10,732.983277216610549943,26730,1063,19592643.00,6724,25.16,31.00,-9.15
7-December-2020,738.10,753.25,731.05,741.25,740.693881088576876408,23076,1183,17092252.00,5579,24.18,22.20,3.15
