Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2020,216.80,216.85,214.10,216.50,215.379197980078390936,151293,2146,32585365.00,80601,53.27,2.75,-0.30
29-December-2020,216.00,216.40,213.50,215.45,215.215236350635316613,248931,3540,53573744.00,75606,30.37,2.90,-0.55
28-December-2020,214.00,216.40,213.80,215.25,215.155782761653474054,109152,1117,23484684.00,22677,20.78,2.60,1.25
24-December-2020,211.00,215.60,210.10,213.45,213.798850458224146168,345355,4493,73836502.00,143874,41.66,5.50,2.45
23-December-2020,211.90,211.90,208.40,210.30,209.831080691143711261,259917,3389,54538665.00,85125,32.75,3.50,-1.60
22-December-2020,208.20,211.65,203.85,210.90,208.102033016197332771,559907,7229,116517785.00,186549,33.32,7.80,2.70
21-December-2020,225.00,225.00,204.95,209.45,214.840856702182592583,296299,3846,63657131.00,74450,25.13,20.05,-15.55
18-December-2020,226.00,226.60,222.40,223.90,223.737686590665742898,381048,4870,85254798.00,221314,58.08,4.20,-2.10
17-December-2020,232.10,232.70,224.75,225.80,227.435232151609214180,765125,7315,174016382.00,456394,59.65,7.95,-6.30
16-December-2020,228.95,234.45,228.60,230.60,231.989626120238984316,342784,3510,79522332.00,75756,22.10,5.85,1.65
15-December-2020,229.05,229.75,224.30,226.40,227.280828882049017036,652059,6475,148200510.00,312607,47.94,5.45,-2.65
14-December-2020,219.75,229.80,218.40,228.90,224.734439134327519268,1494422,14179,335848090.00,737594,49.36,11.40,9.15
11-December-2020,215.70,222.80,214.90,217.25,218.907357740562149221,708424,7636,155079226.00,225248,31.80,7.90,1.55
10-December-2020,218.40,219.00,212.70,215.60,214.359990018119283474,460835,6699,98784586.00,251843,54.65,6.30,-2.80
9-December-2020,216.40,220.15,215.75,218.30,217.996939262978969237,180022,1966,39244245.00,62549,34.75,4.40,1.90
8-December-2020,219.00,219.00,214.05,215.80,215.954721136767317939,140750,2294,30395627.00,47006,33.40,4.95,-3.20
7-December-2020,217.25,219.70,215.20,216.60,217.187371604187552385,243388,2714,52860800.00,79745,32.76,4.50,-0.65
4-December-2020,221.95,223.00,215.15,216.60,217.930243917415854213,716554,9339,156158788.00,280736,39.18,7.85,-5.35
3-December-2020,215.25,220.90,214.55,220.25,218.406642794772642222,545132,9551,119060450.00,295908,54.28,6.35,5.00
2-December-2020,212.95,219.15,212.45,214.70,215.616962350130513648,226030,3157,48735902.00,55353,24.49,6.70,1.75
1-December-2020,210.00,212.35,209.00,211.50,211.279196627820481031,116957,1791,24710581.00,40238,34.40,3.35,1.50
27-November-2020,213.50,215.75,206.75,209.00,213.252840784451366647,660997,8402,140959488.00,97985,14.82,9.00,-4.50
26-November-2020,211.95,213.95,208.20,213.35,211.506910323333304948,117433,1850,24837891.00,40527,34.51,5.75,1.40
25-November-2020,214.50,215.70,211.00,211.95,213.137778332898068559,352276,5501,75083324.00,175419,49.80,4.70,-2.55
24-November-2020,216.25,216.45,213.30,214.50,214.327928796588169849,134825,3460,28896763.00,50272,37.29,3.15,-1.75
23-November-2020,213.10,216.15,213.10,215.30,214.779718606819932692,123315,2262,26485561.00,36639,29.71,3.05,2.20
20-November-2020,213.00,215.95,211.55,213.90,213.993496101501786011,78107,1998,16714390.00,29279,37.49,4.40,0.90
19-November-2020,212.55,218.20,212.10,213.30,215.069870377402038521,268626,4567,57773359.00,86031,32.03,6.10,0.75
18-November-2020,217.00,217.00,211.60,213.85,214.086830044157964129,477830,6313,102297110.00,277192,58.01,5.40,-3.15
17-November-2020,221.05,223.30,215.55,217.70,218.684073450656840416,471119,5162,103026222.00,162267,34.44,7.75,-3.35
14-November-2020,217.00,221.95,215.00,219.60,218.808162175328010047,340767,3267,74562601.00,260139,76.34,6.95,2.60
13-November-2020,213.70,215.70,209.70,214.70,213.392646098111414657,269408,2403,57489686.00,52082,19.33,6.00,1.00
12-November-2020,215.00,216.00,212.85,213.45,214.189335091071413671,119851,1431,25670806.00,36149,30.16,3.15,-1.55
11-November-2020,214.45,217.40,209.00,214.65,213.633040363862670868,406527,4410,86847599.00,149300,36.73,8.40,0.20
10-November-2020,208.00,213.65,207.75,212.45,211.994250064210378054,362091,4510,76761210.00,107252,29.62,5.90,4.45
9-November-2020,205.50,209.90,204.25,207.85,207.525702389637195067,337206,3697,69978912.00,92032,27.29,5.65,2.35
6-November-2020,207.00,207.15,202.40,205.10,205.304188665297644281,846833,10507,173858362.00,410435,48.47,4.75,-1.90
5-November-2020,199.00,206.20,194.35,205.25,201.770946193415075464,2195196,24202,442926774.00,914521,41.66,11.85,6.25
4-November-2020,185.75,188.00,181.20,186.75,184.846692883018140246,290404,3736,53680219.00,74583,25.68,6.80,1.00
3-November-2020,188.10,191.35,184.35,185.75,187.012190217953284235,261111,2814,48830940.00,66669,25.53,7.00,-2.35
2-November-2020,188.90,189.00,185.60,187.25,187.229934940507297418,264066,3664,49441060.00,110064,41.68,3.40,-1.65
30-October-2020,184.50,189.50,182.60,187.70,186.802160175404451594,1161202,14180,216915042.00,302041,26.01,6.90,3.20
29-October-2020,171.00,180.75,170.40,179.60,175.254712599088361551,391822,4583,68668652.00,90236,23.03,10.35,8.60
28-October-2020,173.95,175.75,171.40,171.80,173.324670262905354727,305319,3391,52919315.00,65231,21.36,4.35,-2.15
27-October-2020,174.60,175.50,170.30,173.55,172.476286849226269889,265338,3637,45764513.00,80723,30.42,5.20,-1.05
26-October-2020,182.00,183.75,173.60,174.60,178.566764986360914594,225455,3199,40258770.00,85166,37.78,10.15,-7.40
23-October-2020,178.00,183.90,178.00,182.15,182.150105335427501951,425308,4989,77469897.00,143308,33.70,5.90,4.15
22-October-2020,177.30,180.00,175.40,179.35,177.478071432666399128,209316,2843,37149000.00,94488,45.14,4.60,2.05
21-October-2020,173.95,179.70,173.95,177.65,177.108610231096048527,570066,7809,100963597.00,273022,47.89,5.75,3.70
20-October-2020,176.00,176.60,171.75,172.40,173.856734791336876641,113077,1879,19659198.00,40063,35.43,4.85,-3.60
19-October-2020,170.80,176.85,170.25,175.75,172.883628768555499191,419889,5602,72591934.00,177963,42.38,6.60,4.95
16-October-2020,164.50,169.90,163.40,169.30,166.624795062912627060,204331,2899,34046611.00,56844,27.82,6.50,4.80
15-October-2020,168.75,172.05,163.30,163.95,167.301648084132625736,410780,5964,68724171.00,132787,32.33,8.75,-4.80
14-October-2020,170.50,170.50,165.30,168.75,167.453073828015345747,224427,2933,37580991.00,60658,27.03,5.20,-1.75
13-October-2020,172.00,173.00,169.70,170.35,170.801702390434053422,285011,3979,48680364.00,94981,33.33,3.30,-1.65
12-October-2020,176.80,177.05,171.00,171.45,173.511735804491043836,486034,5386,84332603.00,175740,36.16,6.05,-5.35
9-October-2020,172.10,177.20,170.70,176.10,174.119870710699740226,485423,5620,84521790.00,172509,35.54,6.50,4.00
8-October-2020,172.90,173.90,169.80,171.00,171.587199751365271056,135138,1744,23187951.00,46410,34.34,4.10,-1.90
7-October-2020,174.75,174.75,170.50,171.00,172.469988475357602874,368775,5724,63602620.00,135887,36.85,4.25,-3.75
6-October-2020,175.65,177.00,173.50,173.75,174.771935304734138553,230496,3709,40284232.00,91228,39.58,3.50,-1.90
5-October-2020,176.00,177.30,173.10,175.70,174.672010277607104954,877247,8546,153230497.00,295803,33.72,4.20,-0.30
1-October-2020,181.00,182.80,175.00,175.75,177.534231014677728142,235050,3034,41729421.00,86096,36.63,7.80,-5.25
30-September-2020,184.00,185.80,175.40,180.20,180.345912126449972909,640443,5542,115501277.00,128079,20.00,10.40,-3.80
29-September-2020,185.90,186.00,181.85,184.65,183.849824860178429740,361711,3994,66500504.00,77832,21.52,4.15,-1.25
28-September-2020,180.00,184.95,180.00,183.95,183.305719134150160099,198002,2218,36294899.00,66621,33.65,4.95,3.95
25-September-2020,174.00,179.35,172.40,178.45,176.337597934876137856,441620,4600,77874210.00,116444,26.37,6.95,4.45
24-September-2020,173.00,177.00,171.00,172.40,174.354881162375515375,468833,7368,81743322.00,193479,41.27,6.00,-0.60
23-September-2020,181.80,183.10,174.10,177.65,179.041597005472088922,525759,7308,94132731.00,189089,35.96,9.00,-4.15
22-September-2020,192.40,192.40,178.80,180.50,182.268880601391701539,289861,4030,52832640.00,87341,30.13,13.60,-11.90
21-September-2020,194.00,198.50,188.45,189.05,193.815727627987619453,295302,3148,57234172.00,53510,18.12,10.05,-4.95
18-September-2020,198.25,199.05,193.35,193.95,196.263923328704622098,161312,2299,31659726.00,54420,33.74,5.70,-4.30
17-September-2020,195.40,197.40,193.25,196.85,195.724029366476022877,145472,1846,28472366.00,46529,31.98,4.15,1.45
16-September-2020,199.50,199.50,193.95,195.40,195.714885958901530838,132803,1681,25991524.00,43414,32.69,5.55,-4.10
15-September-2020,197.10,199.95,194.90,198.20,197.401315238724199834,107509,1283,21222418.00,22847,21.25,5.05,1.10
14-September-2020,200.00,201.00,195.15,196.05,197.225576257213520197,151625,1918,29904328.00,60470,39.88,5.85,-3.95
11-September-2020,201.95,204.05,197.30,199.05,200.147948227445421944,375334,4631,75122330.00,73229,19.51,6.75,-2.90
10-September-2020,193.80,202.85,193.80,201.40,199.421290252904219452,425932,4553,84939909.00,69342,16.28,9.05,7.60
9-September-2020,198.00,198.70,190.80,193.75,193.641247471557324065,406871,5900,78787008.00,130541,32.08,7.90,-4.25
8-September-2020,198.10,202.65,195.55,198.75,199.822551603935295219,347115,3074,69361405.00,39643,11.42,7.10,0.65
7-September-2020,199.30,201.80,195.85,197.45,198.374868350016373275,338967,4356,67242534.00,89864,26.51,5.95,-1.85
4-September-2020,196.55,203.20,195.75,197.20,199.268397735031546308,389586,5011,77632178.00,78067,20.04,7.45,0.65
3-September-2020,200.75,204.40,198.75,199.90,201.142592923081915083,308185,3753,61989130.00,80878,26.24,5.65,-0.85
2-September-2020,200.30,202.30,198.95,200.75,200.643891286715108826,237947,3104,47742612.00,63725,26.78,3.35,0.45
1-September-2020,201.00,204.60,194.90,199.85,198.634333568469983902,552870,9699,109818964.00,163920,29.65,9.70,-1.15
31-August-2020,211.50,214.75,200.50,201.70,209.242481933562066734,1494899,16214,312796377.00,336465,22.51,14.25,-9.80
28-August-2020,210.00,212.15,209.30,209.60,210.432818650888033511,412034,4009,86705476.00,171879,41.71,2.85,-0.40
27-August-2020,209.60,211.00,207.65,208.45,209.230321621564919242,667306,9985,139620649.00,186916,28.01,3.35,-1.15
26-August-2020,212.00,212.40,209.15,209.65,210.311959615726739014,449680,3021,94573082.00,254253,56.54,3.25,-2.35
25-August-2020,212.00,214.05,210.85,211.20,212.316480800780844391,192612,2147,40894702.00,47665,24.75,3.20,-0.80
24-August-2020,214.20,214.60,211.20,211.55,212.263253420559256452,451242,4431,95782095.00,227420,50.40,3.40,-2.65
21-August-2020,215.90,217.20,212.00,212.45,213.898683042860734307,465391,3988,99546522.00,166420,35.76,5.20,-3.45
20-August-2020,209.90,215.80,208.25,214.60,211.833583074846799444,819514,6529,173600587.00,147665,18.02,7.55,4.70
19-August-2020,211.65,213.60,210.05,210.70,211.497053998596891005,379158,2745,80190800.00,182111,48.03,3.55,-0.95
18-August-2020,212.05,212.90,209.25,209.80,210.812455461358889298,325560,2671,68632103.00,65163,20.02,3.65,-2.25
17-August-2020,212.40,212.90,205.50,210.95,210.470686214490725649,754662,4444,158834229.00,77271,10.24,7.40,-1.45
14-August-2020,213.00,214.40,207.85,208.60,211.017556839302036176,556877,4435,117510824.00,300537,53.97,6.55,-4.40
13-August-2020,213.00,214.50,210.00,212.30,212.488094198491947686,629819,6207,133829039.00,186898,29.67,4.50,-0.70
12-August-2020,215.10,215.65,211.50,211.95,212.568137951021591073,345050,4814,73346636.00,185881,53.87,4.15,-3.15
11-August-2020,216.00,219.05,213.55,215.10,215.713306441252794121,389210,4095,83957776.00,126834,32.59,5.50,-0.90
10-August-2020,215.20,217.90,213.80,215.20,215.640592164714637560,564370,4822,121701081.00,96882,17.17,4.10,0.00
7-August-2020,224.90,224.90,212.45,213.55,215.515270756077137622,952998,11666,205385622.00,316483,33.21,12.45,-11.35
6-August-2020,212.30,219.70,212.30,216.20,216.525673143848742860,839048,6973,181675433.00,286057,34.09,7.40,3.90
5-August-2020,215.00,220.20,212.00,213.05,215.810413429468633582,307622,3255,66388031.00,69804,22.69,8.20,-1.95
4-August-2020,219.00,220.70,208.75,214.95,213.720538937108869533,528596,6742,112971822.00,94295,17.84,11.95,-4.05
3-August-2020,217.00,221.85,212.75,218.05,217.693728960716516123,328255,4152,71459055.00,55237,16.83,9.10,1.05
31-July-2020,223.10,225.50,213.85,215.00,218.755139293735365795,523175,5411,114447220.00,102564,19.60,11.65,-8.10
30-July-2020,226.65,227.20,218.90,223.10,222.420877250172045347,331308,4213,73689816.00,50385,15.21,8.30,-3.55
29-July-2020,233.50,237.00,227.10,228.25,230.748782645486364860,259990,2991,59992376.00,45620,17.55,9.90,-5.25
28-July-2020,233.55,236.40,228.30,233.00,232.101552658037697758,251633,2968,58404410.00,30392,12.08,8.10,-0.55
27-July-2020,230.00,240.70,223.45,231.70,233.816179251229043237,507712,6165,118711280.00,57817,11.39,17.25,1.70
24-July-2020,232.10,233.45,223.55,228.30,227.849560596532904798,515244,6117,117398119.00,96905,18.81,9.90,-3.80
23-July-2020,232.75,237.50,226.00,231.85,233.220033264221587020,794848,7494,185374477.00,132841,16.71,11.50,-0.90
22-July-2020,236.30,237.60,225.30,228.50,230.975028262612505325,298097,3326,68852963.00,41567,13.94,12.30,-7.80
21-July-2020,227.10,238.00,222.75,234.05,233.655351496604457401,806793,9183,188511502.00,108802,13.49,15.25,6.95
20-July-2020,225.00,229.45,222.90,227.05,226.821098375947666066,496351,6026,112582879.00,179723,36.21,6.55,2.05
17-July-2020,210.45,227.20,210.00,224.10,221.594209279716801088,1364977,13996,302470999.00,389339,28.52,17.20,13.65
16-July-2020,203.95,211.65,200.30,209.75,206.912399535028444282,681332,7700,140976039.00,175853,25.81,11.35,5.80
15-July-2020,213.00,213.30,201.60,203.10,209.260337780462504734,807862,4002,169053475.00,567967,70.30,11.70,-9.90
14-July-2020,211.00,214.40,209.65,210.35,211.600062645367241804,300102,3186,63501602.00,45848,15.28,4.75,-0.65
13-July-2020,210.00,214.90,209.40,210.75,212.314069755779948834,628163,6702,133367843.00,172574,27.47,5.50,0.75
10-July-2020,205.20,211.15,204.00,210.15,207.856916386988511681,495808,6558,103057122.00,165280,33.34,7.15,4.95
9-July-2020,212.45,213.60,204.85,205.45,207.942381482643425738,290063,4076,60316391.00,140710,48.51,8.75,-7.00
8-July-2020,211.05,215.70,210.75,211.80,213.063476800185135679,250627,3769,53399460.00,35442,14.14,4.95,0.75
7-July-2020,215.60,215.80,210.60,211.05,212.068151329987065519,291469,3424,61811292.00,69044,23.69,5.20,-4.55
6-July-2020,216.60,220.50,213.80,215.55,217.676508638264016379,453737,6434,98767886.00,154169,33.98,6.70,-1.05
3-July-2020,215.35,217.75,213.05,215.90,215.371765069654186153,181109,2353,39005765.00,43703,24.13,4.70,0.55
2-July-2020,215.70,219.30,214.10,215.10,216.505944188395732053,316780,4314,68584753.00,91276,28.81,5.20,-0.60
1-July-2020,217.50,223.25,214.60,222.40,218.703914076528237093,330806,6250,72348567.00,69834,21.11,8.65,4.90
30-June-2020,229.90,229.90,216.00,216.40,219.527982197939317931,1261427,6050,276918524.00,1064742,84.41,13.90,-13.50
29-June-2020,229.20,230.90,220.65,225.20,224.276854902937723877,264933,5294,59418340.00,58003,21.89,10.25,-4.00
26-June-2020,226.00,235.60,224.70,230.75,231.287783252512383156,615352,6982,142323400.00,119360,19.40,10.90,4.75
25-June-2020,227.30,231.80,221.00,221.90,225.887152579749819398,315612,5254,71292696.00,53210,16.86,10.80,-5.40
24-June-2020,237.50,238.90,226.75,228.35,232.949077315745488220,265638,4006,61880127.00,62888,23.67,12.15,-9.15
23-June-2020,238.05,241.80,233.30,237.30,238.089505847027223571,255771,4100,60896391.00,49335,19.29,8.50,-0.75
22-June-2020,225.15,241.00,224.50,238.55,233.081615392945024662,535622,7046,124843641.00,94422,17.63,16.50,13.40
19-June-2020,223.00,225.95,219.20,223.50,223.021085616597249733,280191,4425,62488501.00,62381,22.26,6.75,0.50
18-June-2020,213.00,224.25,213.00,222.95,220.416189761297102537,499575,8787,110114418.00,200092,40.05,11.25,9.95
17-June-2020,204.90,218.55,204.90,214.20,215.073013319139155365,826630,10561,177785805.00,138377,16.74,13.65,9.30
16-June-2020,210.95,214.70,206.40,209.90,210.355575931708578925,432968,5978,91077233.00,51081,11.80,8.30,-1.05
15-June-2020,209.50,212.40,204.50,206.45,207.377285751104525833,927321,8323,192305312.00,87427,9.43,7.90,-3.05
12-June-2020,200.00,213.60,199.80,210.85,208.534742303112774281,564384,6047,117693672.00,57917,10.26,13.80,10.85
11-June-2020,209.00,218.20,199.60,205.30,211.179571895148174717,448862,5199,94790485.00,56979,12.69,18.60,-3.70
10-June-2020,215.80,215.80,206.30,207.85,208.947471625371819798,421239,4285,88016824.00,78923,18.74,9.50,-7.95
9-June-2020,218.80,221.90,209.10,211.75,214.459474151860863566,266731,2907,57202990.00,68664,25.74,12.80,-7.05
8-June-2020,209.90,222.45,207.85,216.45,216.888072536104819248,594242,6709,128884002.00,128228,21.58,14.60,6.55
5-June-2020,195.60,205.40,195.60,204.55,201.565686590189303101,416158,7332,83883173.00,110572,26.57,9.80,8.95
4-June-2020,193.55,199.70,193.55,195.20,196.558489507874935738,492131,5047,96732526.00,92333,18.76,6.15,1.65
3-June-2020,195.35,201.70,194.60,196.95,197.777323173187456825,374929,3547,74152454.00,50037,13.35,7.10,1.60
2-June-2020,196.70,196.85,192.40,193.75,194.389461747131396636,380063,3413,73880242.00,94441,24.85,4.45,-2.95
1-June-2020,196.10,200.30,194.95,195.75,197.164527874995581008,678888,6570,133852632.00,61832,9.11,5.35,-0.35
29-May-2020,185.85,197.50,183.95,194.00,193.403225311012133312,520880,7159,100739872.00,112971,21.69,13.55,8.15
28-May-2020,187.30,188.65,183.80,186.00,186.727464756128614088,172796,1751,32265759.00,23729,13.73,4.85,-1.30
27-May-2020,181.80,186.45,178.95,185.70,183.295569454968897565,233583,2561,42814729.00,40443,17.31,7.50,3.90
26-May-2020,182.65,184.70,178.45,179.30,181.753592608033488467,235066,2565,42724090.00,56932,24.22,6.25,-3.35
22-May-2020,181.50,186.55,178.45,182.20,183.638543590927750410,311808,3368,57259967.00,38032,12.20,8.10,0.70
21-May-2020,179.90,181.95,175.10,180.75,178.020686039544637507,400560,3687,71307966.00,82114,20.50,6.85,0.85
20-May-2020,171.45,180.80,171.00,178.65,176.384265322518516888,363452,3833,64107214.00,66989,18.43,9.80,7.20
19-May-2020,176.00,180.40,170.40,171.45,176.942082513683139962,523089,3847,92556457.00,98435,18.82,10.00,-4.55
18-May-2020,192.05,192.05,170.85,172.50,180.845173725987129426,1046418,8240,189239645.00,237695,22.72,21.20,-19.55
15-May-2020,191.40,194.50,187.90,188.85,191.651528469463703277,861221,5003,165054321.00,83509,9.70,6.60,-2.55
14-May-2020,189.75,192.90,188.30,190.35,190.735287974518301916,497926,3041,94972059.00,71451,14.35,4.60,0.60
13-May-2020,197.40,197.40,189.60,192.45,194.132670977466649274,965946,5455,187521677.00,116651,12.08,7.80,-4.95
12-May-2020,191.55,194.55,187.25,189.85,191.618874077104320154,508454,3364,97429383.00,72365,14.23,7.30,-1.70
11-May-2020,199.95,201.00,191.95,192.80,196.664008651423682083,673184,3250,132391064.00,69143,10.27,9.05,-7.15
8-May-2020,203.00,204.70,195.55,196.95,200.480653723122713081,521444,4115,104539434.00,94388,18.10,9.15,-6.05
7-May-2020,202.45,204.90,199.00,201.10,202.276179604772808154,1489270,5524,301243846.00,137076,9.20,5.90,-1.35
6-May-2020,203.00,204.95,186.70,202.45,198.488151479136153081,1108113,9731,219947301.00,98851,8.92,18.25,-0.55
5-May-2020,212.85,220.10,210.10,214.65,216.930190910947809440,421034,5068,91334986.00,103492,24.58,10.00,1.80
4-May-2020,217.50,217.50,204.90,207.70,209.871163915565052008,298123,4741,62567421.00,88165,29.57,12.60,-9.80
30-April-2020,211.00,224.50,207.00,220.20,214.958904780120268964,551597,9427,118570687.00,214707,38.92,17.50,9.20
29-April-2020,213.90,213.90,206.70,208.20,209.744092612476800659,140629,2406,29496102.00,28115,19.99,7.20,-5.70
28-April-2020,211.00,217.95,208.80,211.60,213.562940835877460785,227976,2857,48687225.00,42121,18.48,9.15,0.60
27-April-2020,203.00,213.95,203.00,208.40,207.852424649125544908,192234,3454,39956303.00,76723,39.91,10.95,5.40
