,Unnamed: 0,Unnamed: 0.1,Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
88,88,88,26-August-2020,387.0,391.5,384.2,389.35,388.17108870695364,1732119,9265,672358518.0,586103,33.84,7.3,2.35
89,89,89,25-August-2020,382.0,389.9,381.8,386.2,386.2622754285912,1634892,15520,631497104.0,479817,29.35,8.1,4.2
90,90,90,24-August-2020,373.0,381.05,373.0,380.2,378.39793974415664,11867264,34169,4490548248.0,10612781,89.43,8.05,7.2
91,91,91,21-August-2020,369.55,373.0,367.1,371.15,369.6915642070677,1700101,17770,628512998.0,853846,50.22,5.9,1.6
92,92,92,20-August-2020,366.3,369.65,362.55,367.9,365.94630479546527,1453519,13997,531909907.0,498620,34.3,7.1,1.6
93,93,93,19-August-2020,373.7,375.7,370.4,374.35,373.73906107444026,1120174,11641,418652779.0,546953,48.83,5.3,0.65
94,94,94,18-August-2020,361.1,369.95,361.1,369.4,366.4602693271968,1903781,25054,697660098.0,1068539,56.13,8.85,8.3
95,95,95,17-August-2020,366.1,367.15,354.45,360.25,359.78604316852875,1316144,19545,473530242.0,287160,21.82,12.7,-5.85
96,96,96,14-August-2020,371.4,371.75,354.4,361.45,366.0200893264158,1864622,13085,682489111.0,1083141,58.09,17.35,-9.95
97,97,97,13-August-2020,367.75,372.15,366.15,367.9,369.0103176072577,891195,7616,328860150.0,411183,46.14,6.0,0.15
98,98,98,12-August-2020,365.0,368.75,363.55,366.8,366.3707944065225,2853967,20005,1045610157.0,2049501,71.81,5.2,1.8
99,99,99,11-August-2020,369.1,374.15,364.5,367.4,369.1797128405368,2684989,36647,991243468.0,1154241,42.99,9.65,-1.7
100,100,100,10-August-2020,359.0,364.95,357.55,363.6,361.3463920741612,602687,8070,217778773.0,162805,27.01,7.4,4.6
101,101,101,7-August-2020,359.2,359.5,351.0,357.85,356.932791067885,1146425,15750,409196675.0,355782,31.03,8.5,-1.35
102,102,102,6-August-2020,352.5,363.65,348.7,359.15,356.61163039981415,1479588,15790,527638289.0,269717,18.23,14.95,6.65
103,103,103,5-August-2020,354.2,359.85,350.85,352.2,355.9438419226509,2414666,30478,859485493.0,864037,35.78,9.0,-2.0
104,104,104,4-August-2020,346.4,353.0,344.0,351.05,348.9402703099617,1756798,27811,613017569.0,656193,37.35,9.0,4.65
105,105,105,3-August-2020,347.0,349.3,340.6,343.4,343.88106311213136,2216436,29500,762190368.0,1089840,49.17,8.7,-3.6
106,106,106,31-July-2020,345.55,352.9,341.95,346.9,347.3622555631357,1920230,28237,667015424.0,415863,21.66,10.95,1.35
107,107,107,30-July-2020,352.65,354.45,340.5,345.05,347.65999687613197,1203636,14985,418456088.0,346086,28.75,13.95,-7.6
